tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tecnica_id
TA053;Exposición a imperfección pequeña;Realizar una tarea deliberadamente suficientemente buena, no perfecta.;Aumentar tolerancia al error.;medio;7 días;T007
TA054;Coste-beneficio del perfeccionismo;Analizar beneficios aparentes y costes reales de estándares rígidos.;Flexibilizar reglas internas.;bajo;30 min;T005
TA055;Experimento conductual;Probar una predicción temida y comparar resultado esperado con real.;Actualizar creencias mediante experiencia.;medio;variable;T005
TA056;Trabajo con valores personales;Elegir 5 valores y una acción pequeña alineada con cada uno.;Orientar conducta hacia sentido personal.;bajo;30-45 min;T019
TA057;Plan de prevención de recaídas;Identificar señales tempranas, acciones preventivas y apoyos.;Mantener mejoría y actuar pronto.;bajo;45 min;T020
TA058;Tarjeta de afrontamiento;Crear tarjeta breve con frases, pasos y recursos útiles.;Facilitar uso de estrategias en momentos difíciles.;bajo;15 min;T020
TA059;Grounding 5-4-3-2-1;Nombrar 5 cosas que ve, 4 que siente, 3 que oye, 2 que huele, 1 que saborea.;Anclarse al presente.;bajo;3-5 min;T015
TA060;Identificar señales tempranas;Listar señales corporales, emocionales y conductuales de empeoramiento.;Detectar recaída o crisis incipiente.;bajo;20 min;T020
TA061;Narrativa traumática supervisada;Trabajar relato del trauma dentro de intervención especializada.;Procesar memoria traumática.;alto;supervisado;T021
TA062;EMDR con profesional acreditado;Realizar protocolo EMDR únicamente con profesional formado.;Procesar recuerdos traumáticos.;alto;supervisado;T022
TA063;Plan de seguridad / crisis;Definir contactos, señales de alarma y pasos ante riesgo elevado.;Aumentar seguridad y coordinación clínica.;alto;supervisado;T020
TA064;Reducir comprobaciones de salud;Acordar reducción gradual de búsquedas, toma de constantes o consultas repetidas.;Disminuir mantenimiento de ansiedad por salud.;medio;7 días;T029
TA065;Ventana de preocupación;Reservar un periodo diario breve para preocuparse y posponer preocupaciones fuera de él.;Reducir rumiación difusa.;bajo;7-14 días;T029
TA066;Entrenamiento en incertidumbre;Realizar una acción pequeña sin buscar certeza total.;Aumentar tolerancia a incertidumbre.;medio;7 días;T029
