AREA;PROBLEMA;ALIAS;RIESGO_PROBLEMA;TECNICA;TAREA;DESCRIPCION_TAREA;OBJETIVO;RIESGO_TAREA;DURACION;PRIORIDAD;FUENTE_IDS;NOTA_CLINICA
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Relajación muscular progresiva;Relajación muscular por grupos;Practicar tensión-distensión de grupos musculares siguiendo una guía.;Reducir tensión corporal.;bajo;15-20 min;media;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Reestructuración cognitiva;Registro de pensamientos automáticos;Registrar situación, pensamiento, emoción, intensidad y respuesta alternativa.;Detectar patrones cognitivos.;bajo;7 días;alta;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Reestructuración cognitiva;Evidencias a favor y en contra;Analizar un pensamiento automático buscando pruebas que lo apoyen y lo contradigan.;Flexibilizar interpretaciones.;medio;20-30 min;media;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Reestructuración cognitiva;Pensamiento alternativo equilibrado;Formular una interpretación alternativa más realista y útil.;Reducir impacto emocional de pensamientos disfuncionales.;medio;15-20 min;media;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Reestructuración cognitiva;Coste-beneficio del perfeccionismo;Analizar beneficios aparentes y costes reales de estándares rígidos.;Flexibilizar reglas internas.;bajo;30 min;media;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Reestructuración cognitiva;Experimento conductual;Probar una predicción temida y comparar resultado esperado con real.;Actualizar creencias mediante experiencia.;medio;variable;media;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Resolución de problemas;Hoja de resolución de problemas;Definir problema, alternativas, pros/contras, acción elegida y revisión.;Aumentar afrontamiento activo.;bajo;30-45 min;media;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Mindfulness / atención plena;Pausa consciente de 3 minutos;Hacer una pausa breve observando respiración, cuerpo y entorno.;Interrumpir automatismos y bajar activación.;bajo;3 min;media;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Psicoeducación;Leer explicación básica del problema;Leer una ficha psicoeducativa adaptada sobre el problema seleccionado.;Comprender el problema y reducir miedo o confusión inicial.;bajo;10-20 min;alta;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Psicoeducación;Dibujar el ciclo del problema;Completar un esquema de ciclo: situación, pensamiento, emoción, sensación, conducta y consecuencia.;Identificar mecanismos de mantenimiento.;bajo;15-30 min;alta;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Autorregistro;Registro diario de síntomas;Registrar intensidad, duración, situación y respuesta ante síntomas relevantes.;Aumentar conciencia y facilitar análisis clínico.;bajo;7 días;alta;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Autorregistro;Registro de emociones;Anotar emoción, intensidad, desencadenante, pensamiento asociado y conducta realizada.;Mejorar identificación emocional.;bajo;7 días;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Autorregistro;Registro de ataques de pánico;Registrar síntomas, pensamientos, conducta y evolución temporal de cada crisis.;Comprender patrón de pánico.;medio;cada episodio;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Autorregistro;Registro de obsesiones y compulsiones;Anotar obsesión, ansiedad, compulsión, alivio y coste a largo plazo.;Identificar mapa TOC.;medio;7 días;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Autorregistro;Registro de preocupaciones nocturnas;Anotar preocupaciones antes de dormir y posponer resolución al día siguiente.;Reducir rumiación nocturna.;bajo;7 días;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Autorregistro;Registro de energía;Registrar actividades que consumen o recargan energía.;Detectar patrones de burnout.;bajo;7 días;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Respiración diafragmática;Respiración diafragmática diaria;Practicar respiración lenta abdominal durante 10 minutos.;Reducir activación fisiológica.;bajo;10 min/día;alta;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Respiración diafragmática;Plan personal ante crisis de pánico;Crear una tarjeta con pasos de afrontamiento durante una crisis.;Aumentar sensación de control.;bajo;20 min;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Reestructuración cognitiva;Registro de pensamientos automáticos;Registrar situación, pensamiento, emoción, intensidad y respuesta alternativa.;Detectar patrones cognitivos.;bajo;7 días;alta;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Reestructuración cognitiva;Evidencias a favor y en contra;Analizar un pensamiento automático buscando pruebas que lo apoyen y lo contradigan.;Flexibilizar interpretaciones.;medio;20-30 min;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Reestructuración cognitiva;Pensamiento alternativo equilibrado;Formular una interpretación alternativa más realista y útil.;Reducir impacto emocional de pensamientos disfuncionales.;medio;15-20 min;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Reestructuración cognitiva;Coste-beneficio del perfeccionismo;Analizar beneficios aparentes y costes reales de estándares rígidos.;Flexibilizar reglas internas.;bajo;30 min;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Reestructuración cognitiva;Experimento conductual;Probar una predicción temida y comparar resultado esperado con real.;Actualizar creencias mediante experiencia.;medio;variable;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Exposición interoceptiva;Exposición interoceptiva supervisada;Practicar ejercicios que provoquen sensaciones físicas temidas bajo indicación clínica.;Reducir miedo a sensaciones corporales.;alto;supervisado;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Grounding;Grounding 5-4-3-2-1;Nombrar 5 cosas que ve, 4 que siente, 3 que oye, 2 que huele, 1 que saborea.;Anclarse al presente.;bajo;3-5 min;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Trastorno de pánico;Crisis de pánico;medio;Prevención de recaídas;Plan de prevención de recaídas;Identificar señales tempranas, acciones preventivas y apoyos.;Mantener mejoría y actuar pronto.;bajo;45 min;alta;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Psicoeducación;Leer explicación básica del problema;Leer una ficha psicoeducativa adaptada sobre el problema seleccionado.;Comprender el problema y reducir miedo o confusión inicial.;bajo;10-20 min;alta;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Psicoeducación;Dibujar el ciclo del problema;Completar un esquema de ciclo: situación, pensamiento, emoción, sensación, conducta y consecuencia.;Identificar mecanismos de mantenimiento.;bajo;15-30 min;alta;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Autorregistro;Registro diario de síntomas;Registrar intensidad, duración, situación y respuesta ante síntomas relevantes.;Aumentar conciencia y facilitar análisis clínico.;bajo;7 días;alta;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Autorregistro;Registro de emociones;Anotar emoción, intensidad, desencadenante, pensamiento asociado y conducta realizada.;Mejorar identificación emocional.;bajo;7 días;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Autorregistro;Registro de ataques de pánico;Registrar síntomas, pensamientos, conducta y evolución temporal de cada crisis.;Comprender patrón de pánico.;medio;cada episodio;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Autorregistro;Registro de obsesiones y compulsiones;Anotar obsesión, ansiedad, compulsión, alivio y coste a largo plazo.;Identificar mapa TOC.;medio;7 días;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Autorregistro;Registro de preocupaciones nocturnas;Anotar preocupaciones antes de dormir y posponer resolución al día siguiente.;Reducir rumiación nocturna.;bajo;7 días;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Autorregistro;Registro de energía;Registrar actividades que consumen o recargan energía.;Detectar patrones de burnout.;bajo;7 días;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Respiración diafragmática;Respiración diafragmática diaria;Practicar respiración lenta abdominal durante 10 minutos.;Reducir activación fisiológica.;bajo;10 min/día;alta;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Respiración diafragmática;Plan personal ante crisis de pánico;Crear una tarjeta con pasos de afrontamiento durante una crisis.;Aumentar sensación de control.;bajo;20 min;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Reestructuración cognitiva;Registro de pensamientos automáticos;Registrar situación, pensamiento, emoción, intensidad y respuesta alternativa.;Detectar patrones cognitivos.;bajo;7 días;alta;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Reestructuración cognitiva;Evidencias a favor y en contra;Analizar un pensamiento automático buscando pruebas que lo apoyen y lo contradigan.;Flexibilizar interpretaciones.;medio;20-30 min;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Reestructuración cognitiva;Pensamiento alternativo equilibrado;Formular una interpretación alternativa más realista y útil.;Reducir impacto emocional de pensamientos disfuncionales.;medio;15-20 min;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Reestructuración cognitiva;Coste-beneficio del perfeccionismo;Analizar beneficios aparentes y costes reales de estándares rígidos.;Flexibilizar reglas internas.;bajo;30 min;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Reestructuración cognitiva;Experimento conductual;Probar una predicción temida y comparar resultado esperado con real.;Actualizar creencias mediante experiencia.;medio;variable;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Exposición gradual;Jerarquía de exposición;Crear lista graduada de situaciones temidas de menor a mayor dificultad.;Preparar exposición gradual.;medio;30-45 min;alta;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Exposición gradual;Exposición gradual planificada;Realizar una exposición acordada, registrando ansiedad inicial, máxima y final.;Reducir evitación y habituar/actualizar aprendizaje.;medio;variable;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Agorafobia;Miedo a lugares o situaciones difíciles de escapar;medio;Exposición gradual;Prevención de evitación sutil;Identificar conductas de seguridad y reducir una de forma acordada.;Reducir mantenimiento de ansiedad.;medio;7 días;media;"SRC001;SRC007";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Psicoeducación;Leer explicación básica del problema;Leer una ficha psicoeducativa adaptada sobre el problema seleccionado.;Comprender el problema y reducir miedo o confusión inicial.;bajo;10-20 min;alta;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Psicoeducación;Dibujar el ciclo del problema;Completar un esquema de ciclo: situación, pensamiento, emoción, sensación, conducta y consecuencia.;Identificar mecanismos de mantenimiento.;bajo;15-30 min;alta;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Autorregistro;Registro diario de síntomas;Registrar intensidad, duración, situación y respuesta ante síntomas relevantes.;Aumentar conciencia y facilitar análisis clínico.;bajo;7 días;alta;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Autorregistro;Registro de emociones;Anotar emoción, intensidad, desencadenante, pensamiento asociado y conducta realizada.;Mejorar identificación emocional.;bajo;7 días;media;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Autorregistro;Registro de ataques de pánico;Registrar síntomas, pensamientos, conducta y evolución temporal de cada crisis.;Comprender patrón de pánico.;medio;cada episodio;media;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Autorregistro;Registro de obsesiones y compulsiones;Anotar obsesión, ansiedad, compulsión, alivio y coste a largo plazo.;Identificar mapa TOC.;medio;7 días;media;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Autorregistro;Registro de preocupaciones nocturnas;Anotar preocupaciones antes de dormir y posponer resolución al día siguiente.;Reducir rumiación nocturna.;bajo;7 días;media;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Autorregistro;Registro de energía;Registrar actividades que consumen o recargan energía.;Detectar patrones de burnout.;bajo;7 días;media;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Reestructuración cognitiva;Registro de pensamientos automáticos;Registrar situación, pensamiento, emoción, intensidad y respuesta alternativa.;Detectar patrones cognitivos.;bajo;7 días;alta;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Reestructuración cognitiva;Evidencias a favor y en contra;Analizar un pensamiento automático buscando pruebas que lo apoyen y lo contradigan.;Flexibilizar interpretaciones.;medio;20-30 min;media;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Reestructuración cognitiva;Pensamiento alternativo equilibrado;Formular una interpretación alternativa más realista y útil.;Reducir impacto emocional de pensamientos disfuncionales.;medio;15-20 min;media;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Reestructuración cognitiva;Coste-beneficio del perfeccionismo;Analizar beneficios aparentes y costes reales de estándares rígidos.;Flexibilizar reglas internas.;bajo;30 min;media;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Reestructuración cognitiva;Experimento conductual;Probar una predicción temida y comparar resultado esperado con real.;Actualizar creencias mediante experiencia.;medio;variable;media;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Exposición gradual;Jerarquía de exposición;Crear lista graduada de situaciones temidas de menor a mayor dificultad.;Preparar exposición gradual.;medio;30-45 min;alta;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Exposición gradual;Exposición gradual planificada;Realizar una exposición acordada, registrando ansiedad inicial, máxima y final.;Reducir evitación y habituar/actualizar aprendizaje.;medio;variable;media;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Exposición gradual;Prevención de evitación sutil;Identificar conductas de seguridad y reducir una de forma acordada.;Reducir mantenimiento de ansiedad.;medio;7 días;media;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Exposición gradual;Exposición a imperfección pequeña;Realizar una tarea deliberadamente suficientemente buena, no perfecta.;Aumentar tolerancia al error.;medio;7 días;media;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad social;Fobia social;medio;Asertividad;Practicar decir no;Ensayar una frase asertiva para rechazar una petición no deseada.;Aumentar asertividad.;bajo;15-30 min;media;SRC004;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Psicoeducación;Leer explicación básica del problema;Leer una ficha psicoeducativa adaptada sobre el problema seleccionado.;Comprender el problema y reducir miedo o confusión inicial.;bajo;10-20 min;alta;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Psicoeducación;Dibujar el ciclo del problema;Completar un esquema de ciclo: situación, pensamiento, emoción, sensación, conducta y consecuencia.;Identificar mecanismos de mantenimiento.;bajo;15-30 min;alta;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Autorregistro;Registro diario de síntomas;Registrar intensidad, duración, situación y respuesta ante síntomas relevantes.;Aumentar conciencia y facilitar análisis clínico.;bajo;7 días;alta;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Autorregistro;Registro de emociones;Anotar emoción, intensidad, desencadenante, pensamiento asociado y conducta realizada.;Mejorar identificación emocional.;bajo;7 días;media;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Autorregistro;Registro de ataques de pánico;Registrar síntomas, pensamientos, conducta y evolución temporal de cada crisis.;Comprender patrón de pánico.;medio;cada episodio;media;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Autorregistro;Registro de obsesiones y compulsiones;Anotar obsesión, ansiedad, compulsión, alivio y coste a largo plazo.;Identificar mapa TOC.;medio;7 días;media;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Autorregistro;Registro de preocupaciones nocturnas;Anotar preocupaciones antes de dormir y posponer resolución al día siguiente.;Reducir rumiación nocturna.;bajo;7 días;media;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Autorregistro;Registro de energía;Registrar actividades que consumen o recargan energía.;Detectar patrones de burnout.;bajo;7 días;media;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Exposición gradual;Jerarquía de exposición;Crear lista graduada de situaciones temidas de menor a mayor dificultad.;Preparar exposición gradual.;medio;30-45 min;alta;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Exposición gradual;Exposición gradual planificada;Realizar una exposición acordada, registrando ansiedad inicial, máxima y final.;Reducir evitación y habituar/actualizar aprendizaje.;medio;variable;media;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Exposición gradual;Prevención de evitación sutil;Identificar conductas de seguridad y reducir una de forma acordada.;Reducir mantenimiento de ansiedad.;medio;7 días;media;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Exposición gradual;Exposición a imperfección pequeña;Realizar una tarea deliberadamente suficientemente buena, no perfecta.;Aumentar tolerancia al error.;medio;7 días;media;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Reestructuración cognitiva;Registro de pensamientos automáticos;Registrar situación, pensamiento, emoción, intensidad y respuesta alternativa.;Detectar patrones cognitivos.;bajo;7 días;alta;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Reestructuración cognitiva;Evidencias a favor y en contra;Analizar un pensamiento automático buscando pruebas que lo apoyen y lo contradigan.;Flexibilizar interpretaciones.;medio;20-30 min;media;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Reestructuración cognitiva;Pensamiento alternativo equilibrado;Formular una interpretación alternativa más realista y útil.;Reducir impacto emocional de pensamientos disfuncionales.;medio;15-20 min;media;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Fobia específica;Miedo específico;bajo;Reestructuración cognitiva;Coste-beneficio del perfeccionismo;Analizar beneficios aparentes y costes reales de estándares rígidos.;Flexibilizar reglas internas.;bajo;30 min;media;"SRC007;SRC010";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
