problema_id;area_id;nombre;alias;descripcion;poblacion;nivel_riesgo;fuente_ids
LOG_P024;LOG_A006;Dificultades de escritura;Ortografía/redacción;Dificultad en correspondencias grafema-fonema, ortografía, planificación o redacción.;Infantil;medio;LOG_SRC002
LOG_P025;LOG_A006;Dificultad de comprensión lectora;Comprensión escrita;Problemas para extraer significado, inferencias o ideas principales de textos.;Infantil/Adultos;medio;LOG_SRC002
LOG_P026;LOG_A007;Afasia;Trastorno adquirido del lenguaje;Alteración del lenguaje por daño cerebral en áreas responsables del lenguaje.;Adultos;alto;"LOG_SRC005;LOG_SRC010"
LOG_P027;LOG_A007;Anomia;Dificultad para encontrar palabras;Dificultad de denominación o acceso léxico, frecuente en afasia y otras condiciones.;Adultos;medio;"LOG_SRC005;LOG_SRC010"
LOG_P028;LOG_A007;Comunicación funcional reducida tras ictus;Participación comunicativa;Limitación en la comunicación cotidiana y participación social tras ictus.;Adultos;alto;LOG_SRC010
LOG_P029;LOG_A007;Comprensión auditiva alterada en adulto;Comprensión postlesión;Dificultad adquirida para comprender lenguaje oral.;Adultos;alto;"LOG_SRC005;LOG_SRC010"
LOG_P030;LOG_A008;Disartria;Alteración motora del habla;Alteración del habla por control neuromotor, fuerza, tono, coordinación o respiración.;Adultos;alto;"LOG_SRC002;LOG_SRC011"
LOG_P031;LOG_A008;Apraxia del habla;Planificación motora del habla;Dificultad adquirida o evolutiva de planificación/programación motora del habla.;Infantil/Adultos;alto;"LOG_SRC002;LOG_SRC011"
LOG_P032;LOG_A008;Prosodia alterada;Ritmo/entonación;Alteración de ritmo, acento, melodía o naturalidad del habla.;Infantil/Adultos;medio;"LOG_SRC002;LOG_SRC011"
LOG_P033;LOG_A009;Trastorno de comunicación social;Pragmática;Dificultad para usar lenguaje socialmente: turnos, contexto, inferencias, tema y adecuación.;Infantil/Adultos;medio;LOG_SRC002
LOG_P034;LOG_A009;Dificultad conversacional;Turnos y tema;Problemas para iniciar, mantener, cambiar o cerrar conversación.;Infantil/Adultos;bajo;LOG_SRC002
LOG_P035;LOG_A009;Dificultad de inferencias y lenguaje figurado;Comprensión pragmática;Dificultad con dobles sentidos, ironía, inferencias o significado implícito.;Infantil/Adultos;medio;LOG_SRC002
LOG_P036;LOG_A010;Necesidad de CAA;Apoyo comunicativo;Necesidad de apoyos visuales, tableros, pictogramas, gestos o dispositivos para comunicarse.;Infantil/Adultos;medio;"LOG_SRC002;LOG_SRC003"
LOG_P037;LOG_A010;Baja participación comunicativa;Comunicación funcional;Poca participación en actividades por limitaciones comunicativas o barreras del entorno.;Infantil/Adultos;medio;"LOG_SRC002;LOG_SRC005;LOG_SRC010"
LOG_P038;LOG_A011;Deglución atípica;Patrón deglutorio orofacial;Patrón de deglución o postura lingual que puede afectar función orofacial.;Infantil/Adultos;medio;LOG_SRC002
LOG_P039;LOG_A011;Respiración oral funcional;Respiración bucal;Patrón respiratorio oral que requiere valoración y posible coordinación sanitaria/odontológica.;Infantil;medio;LOG_SRC002
LOG_P040;LOG_A011;Alteración de movilidad orofacial;Praxias/tono orofacial;Dificultad de movilidad, coordinación o conciencia de labios, lengua, mandíbula o mejillas.;Infantil/Adultos;medio;LOG_SRC002
LOG_P041;LOG_A012;Discriminación auditiva reducida;Percepción de sonidos del habla;Dificultad para diferenciar sonidos del habla relevantes para lenguaje o articulación.;Infantil;medio;LOG_SRC002
LOG_P042;LOG_A012;Apoyo comunicativo en hipoacusia;Comunicación y audición;Apoyo logopédico en comunicación, lenguaje y discriminación auditiva en hipoacusia.;Infantil/Adultos;medio;"LOG_SRC002;LOG_SRC006"
