tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tecnica_id
PSP2_TA044;Simulacro de examen graduado;Practicar examen breve con condiciones adaptadas y feedback.;Reducir ansiedad de examen.;medio;semanal;PSP2_T034
PSP2_TA045;Tarjeta de afrontamiento de examen;Frases útiles, respiración y pasos si aparece bloqueo.;Manejar ansiedad académica.;bajo;antes de examen;PSP2_T033
PSP2_TA046;Exposición oral en escala;Practicar de leer a una persona hasta exponer a grupo pequeño.;Reducir miedo a participar.;medio;semanal;PSP2_T034
PSP2_TA047;Reformular error académico;Convertir error en información: qué pasó, qué haré distinto.;Reducir miedo al error.;bajo;semanal;PSP2_T035
PSP2_TA048;Registro de autoeficacia;Anotar esfuerzo, estrategia usada y avance pequeño.;Mejorar autoconcepto académico.;bajo;semanal;PSP2_T006
PSP2_TA049;Tarjetas de recuperación activa;Crear preguntas/respuestas y practicar sin mirar apuntes.;Mejorar memoria a largo plazo.;bajo;3 veces/semana;PSP2_T036
PSP2_TA050;Calendario de repaso espaciado;Programar repasos 1-3-7-14 días según contenido.;Mejorar retención.;bajo;semanal;PSP2_T037
PSP2_TA051;Mapa conceptual de tema;Jerarquizar conceptos y relaciones antes de estudiar.;Organizar información.;bajo;por tema;PSP2_T039
PSP2_TA052;Diario metacognitivo;Responder: qué sabía, qué no, qué estrategia funcionó.;Mejorar autorregulación del aprendizaje.;bajo;semanal;PSP2_T040
PSP2_TA053;Ficha de adaptación educativa;Describir necesidad, ajuste, responsable, duración y revisión.;Formalizar apoyos.;medio;por trimestre;PSP2_T042
PSP2_TA054;Seguimiento familia-centro;Registro breve de objetivo, avance y barrera semanal.;Coordinar apoyos.;bajo;semanal;PSP2_T043
PSP2_TA055;Diseño UDL de una tarea;Ofrecer alternativa de acceso, expresión o participación.;Aumentar inclusión.;bajo;por tarea;PSP2_T041
PSP2_TA056;Norma visual y consecuencia lógica;Definir norma observable, recordatorio visual y consecuencia proporcionada.;Mejorar conducta en aula.;medio;semanal;PSP2_T007
PSP2_TA057;Guion de reparación de conflicto;Qué pasó, cómo se sintió cada uno, qué puedo reparar.;Mejorar convivencia.;bajo;tras conflicto;PSP2_T044
PSP2_TA058;Roles cooperativos visibles;Asignar rol, tarea y criterio de éxito en trabajo grupal.;Mejorar cooperación.;bajo;cada grupo;PSP2_T045
PSP2_TA059;Escalera de autonomía;Elegir tarea que pasará de ayuda total a ayuda parcial y autónoma.;Aumentar autonomía.;bajo;2-4 semanas;PSP2_T010
PSP2_TA060;Menú de recompensas educativas;Crear lista de reforzadores no excesivos y acordados.;Mejorar motivación.;bajo;semanal;PSP2_T006
PSP2_TA061;Compromiso mínimo viable;Definir versión mínima de tarea para días difíciles.;Evitar abandono.;bajo;diario;PSP2_T048
PSP2_TA062;Revisión mensual de avances;Comparar objetivo, datos, barreras y ajustes necesarios.;Mantener seguimiento.;bajo;mensual;PSP2_T048
