problema_id;area_id;nombre;descripcion;poblacion;nivel_riesgo;fuente_ids
PSP2_P019;PSP2_A003;Altas Capacidades - desajuste socioemocional;Sensación de diferencia, aislamiento o dificultad para conectar con iguales.;Infantil/Adolescente;medio;PSP2_SRC014
PSP2_P020;PSP2_A003;Doble excepcionalidad - alta capacidad y dificultad específica;Perfil de alta capacidad con TDAH, TEA, dislexia u otra necesidad coexistente.;Infantil/Adolescente;medio;"PSP2_SRC013;PSP2_SRC014"
PSP2_P021;PSP2_A003;Altas Capacidades - baja tolerancia a frustración;Malestar intenso ante tareas difíciles o no dominadas rápidamente.;Infantil/Adolescente;bajo;PSP2_SRC014
PSP2_P022;PSP2_A004;Dislexia - conciencia fonológica;Dificultad para identificar, segmentar o manipular sonidos del lenguaje.;Infantil;medio;"PSP2_SRC008;PSP2_SRC010"
PSP2_P023;PSP2_A004;Dislexia - decodificación lectora;Dificultad para convertir grafemas en sonidos y leer palabras nuevas.;Infantil/Adolescente;medio;"PSP2_SRC008;PSP2_SRC010"
PSP2_P024;PSP2_A004;Dislexia - fluidez lectora baja;Lectura lenta, poco automatizada o con esfuerzo elevado.;Infantil/Adolescente;medio;"PSP2_SRC008;PSP2_SRC010"
PSP2_P025;PSP2_A004;Dislexia - comprensión afectada por esfuerzo lector;Comprensión reducida por sobrecarga en decodificación o fluidez.;Infantil/Adolescente;medio;"PSP2_SRC008;PSP2_SRC010"
PSP2_P026;PSP2_A004;Dificultad ortográfica persistente;Errores ortográficos frecuentes pese a práctica general.;Infantil/Adolescente;bajo;"PSP2_SRC008;PSP2_SRC010"
PSP2_P027;PSP2_A005;Discalculia - sentido numérico;Dificultad para comprender cantidad, magnitud, comparación o estimación.;Infantil;medio;"PSP2_SRC009;PSP2_SRC011"
PSP2_P028;PSP2_A005;Discalculia - cálculo básico;Dificultad persistente con operaciones, hechos numéricos o procedimientos.;Infantil/Adolescente;medio;"PSP2_SRC009;PSP2_SRC011"
PSP2_P029;PSP2_A005;Discalculia - resolución de problemas;Dificultad para traducir enunciados a operaciones y pasos.;Infantil/Adolescente;medio;PSP2_SRC011
PSP2_P030;PSP2_A005;Ansiedad matemática;Bloqueo, evitación o malestar ante matemáticas.;Infantil/Adolescente;medio;"PSP2_SRC011;PSP2_SRC009"
PSP2_P031;PSP2_A006;Disgrafía - grafomotricidad;Dificultad en trazo, tamaño, presión, velocidad o legibilidad.;Infantil;medio;PSP2_SRC009
PSP2_P032;PSP2_A006;Disgrafía - fatiga al escribir;Cansancio, dolor o evitación por esfuerzo gráfico.;Infantil/Adolescente;medio;PSP2_SRC009
PSP2_P033;PSP2_A006;Producción escrita desorganizada;Dificultad para planificar, ordenar y revisar textos.;Infantil/Adolescente;bajo;"PSP2_SRC005;PSP2_SRC009"
PSP2_P034;PSP2_A006;Dificultad para expresar ideas por escrito;Ideas adecuadas oralmente pero pobre expresión escrita.;Infantil/Adolescente;bajo;"PSP2_SRC005;PSP2_SRC009"
PSP2_P035;PSP2_A007;Funciones ejecutivas - memoria de trabajo;Dificultad para mantener información activa mientras se realiza una tarea.;Infantil/Adolescente;medio;PSP2_SRC009
PSP2_P036;PSP2_A007;Funciones ejecutivas - planificación;Dificultad para anticipar pasos, materiales, tiempos y objetivos.;Infantil/Adolescente;bajo;PSP2_SRC009
PSP2_P037;PSP2_A007;Funciones ejecutivas - organización material;Mochila, agenda, cuadernos o archivos desordenados.;Infantil/Adolescente;bajo;PSP2_SRC009
PSP2_P038;PSP2_A007;Funciones ejecutivas - inhibición;Dificultad para frenar respuestas, distracciones o impulsos.;Infantil/Adolescente;medio;"PSP2_SRC001;PSP2_SRC009"
PSP2_P039;PSP2_A007;Funciones ejecutivas - flexibilidad cognitiva;Dificultad para cambiar estrategia o aceptar alternativas.;Infantil/Adolescente;medio;"PSP2_SRC002;PSP2_SRC009"
PSP2_P040;PSP2_A007;Funciones ejecutivas - monitorización;Dificultad para revisar errores, comprobar resultado o autocorregir.;Infantil/Adolescente;bajo;PSP2_SRC009
PSP2_P041;PSP2_A008;Ansiedad ante exámenes;Malestar, bloqueo o evitación ante pruebas académicas.;Infantil/Adolescente;medio;"PSP2_SRC006;PSP2_SRC009"
PSP2_P042;PSP2_A008;Miedo a participar en clase;Evitar leer, preguntar, exponer o responder ante compañeros.;Infantil/Adolescente;medio;PSP2_SRC006
PSP2_P043;PSP2_A008;Miedo al error académico;Evitar tareas por temor a equivocarse o recibir crítica.;Infantil/Adolescente;bajo;PSP2_SRC006
PSP2_P044;PSP2_A008;Autoconcepto académico bajo;Creencia persistente de incapacidad académica.;Infantil/Adolescente;medio;"PSP2_SRC006;PSP2_SRC009"
PSP2_P045;PSP2_A009;Estudio pasivo ineficaz;Uso predominante de releer/subrayar sin recuperación activa.;Adolescente;bajo;PSP2_SRC005
PSP2_P046;PSP2_A009;Mala planificación de exámenes;Estudio concentrado al final, sin repaso espaciado.;Adolescente;bajo;PSP2_SRC005
PSP2_P047;PSP2_A009;Dificultad para resumir y estructurar contenidos;Problemas para identificar ideas principales y jerarquizarlas.;Infantil/Adolescente;bajo;PSP2_SRC005
PSP2_P048;PSP2_A009;Baja metacognición;Dificultad para saber qué se sabe, qué falta y cómo mejorar.;Infantil/Adolescente;bajo;"PSP2_SRC005;PSP2_SRC006"
PSP2_P049;PSP2_A010;Necesidad de adaptación de acceso;Requiere ajustes para acceder a información: formato, tiempo, apoyos o entorno.;Infantil/Adolescente;medio;"PSP2_SRC006;PSP2_SRC007"
PSP2_P050;PSP2_A010;Necesidad de adaptación de expresión;Requiere alternativas para demostrar aprendizaje: oral, visual, digital o tiempo adicional.;Infantil/Adolescente;medio;"PSP2_SRC006;PSP2_SRC007"
PSP2_P051;PSP2_A010;Necesidad de coordinación familia-centro;Falta de comunicación clara entre familia, escuela y profesional.;Infantil/Adolescente;bajo;PSP2_SRC006
PSP2_P052;PSP2_A010;Seguimiento de ajustes educativos;Necesidad de revisar si las adaptaciones son útiles y sostenibles.;Infantil/Adolescente;bajo;"PSP2_SRC006;PSP2_SRC007"
PSP2_P053;PSP2_A011;Conducta disruptiva leve en aula;Interrupciones, llamadas de atención o incumplimiento de normas sin alto riesgo.;Infantil/Adolescente;medio;"PSP2_SRC005;PSP2_SRC006"
PSP2_P054;PSP2_A011;Dificultad para seguir normas;Problemas para comprender, recordar o aceptar normas del aula.;Infantil/Adolescente;bajo;PSP2_SRC006
PSP2_P055;PSP2_A011;Conflictos con iguales;Dificultad para resolver conflictos o reparar interacciones.;Infantil/Adolescente;medio;PSP2_SRC006
PSP2_P056;PSP2_A011;Baja participación cooperativa;Dificultad para trabajar en grupo, turnarse o asumir roles.;Infantil/Adolescente;bajo;"PSP2_SRC006;PSP2_SRC007"
PSP2_P057;PSP2_A012;Desmotivación escolar;Baja implicación, apatía o percepción de irrelevancia de las tareas.;Infantil/Adolescente;medio;PSP2_SRC006
PSP2_P058;PSP2_A012;Evitación de tareas difíciles;Evitar o abandonar tareas por frustración, miedo o baja autoeficacia.;Infantil/Adolescente;medio;"PSP2_SRC006;PSP2_SRC009"
PSP2_P059;PSP2_A012;Baja autonomía académica;Dependencia excesiva de adulto para iniciar, organizar o revisar tareas.;Infantil/Adolescente;bajo;PSP2_SRC006
PSP2_P060;PSP2_A012;Adherencia baja a pautas psicopedagógicas;Dificultad para mantener tareas, registros o estrategias entre sesiones.;Infantil/Adolescente;bajo;"PSP2_SRC006;PSP2_SRC009"
