tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tipo_intervencion;tecnica_id
NUT2_TA071;Semáforo de hambre;Clasificar hambre 0-3 baja, 4-7 adecuada, 8-10 alta y ajustar comidas.;Gestionar hambre.;bajo;diario;control_peso;NUT2_T014
NUT2_TA072;Plan de vuelta tras desvío;Definir siguiente comida normal, sin compensaciones extremas.;Evitar todo/nada.;bajo;cuando proceda;conductual;NUT2_T049
NUT2_TA073;Revisión de alimentos tabú;Elegir un alimento evitado y trabajarlo con exposición flexible si procede.;Reducir rigidez.;medio;supervisado;conductual;NUT2_T035
NUT2_TA074;Plan de compra económica;Seleccionar proteínas, legumbres, verduras congeladas y básicos asequibles.;Ajustar a presupuesto.;bajo;semanal;planificación;NUT2_T010
NUT2_TA075;Preparar plato de legumbre completo;Crear plato con legumbre, verdura y proteína complementaria si procede.;Mejorar fibra y saciedad.;bajo;semanal;hábitos;NUT2_T007
NUT2_TA076;Plan de reducción gradual de sal;Reducir sal poco a poco durante varias semanas.;Adaptar paladar.;medio;2-4 semanas;cardiovascular;NUT2_T025
NUT2_TA077;Plan de grasa saludable;Incluir aceite de oliva/frutos secos/aguacate/pescado según preferencia.;Mejorar perfil graso.;bajo;semanal;cardiovascular;NUT2_T026
NUT2_TA078;Registro de síntomas post-comida;Anotar comida, síntomas, intensidad y tiempo de aparición.;Ayudar evaluación digestiva.;medio;7 días;digestiva;NUT2_T029
NUT2_TA079;Revisión de suplementos con profesional sanitario;Consultar si hay enfermedad, medicación, embarazo, analíticas o dosis altas.;Evitar riesgos.;alto;si procede;suplementación;NUT2_T046
NUT2_TA080;Plan de autonomía alimentaria;Elegir 2 habilidades: comprar, cocinar, elegir fuera o preparar snack.;Aumentar independencia.;bajo;semanal;educativa;NUT2_T002
NUT2_TA081;Checklist de platos preparados;Comparar platos preparados por proteína, fibra, sal y calorías.;Elegir mejor cuando no se cocina.;bajo;semanal;educativa;NUT2_T004
NUT2_TA082;Revisión de saciedad del desayuno;Valorar hambre 2-3h después y ajustar proteína/fibra.;Reducir hambre matutina.;bajo;7 días;control_peso;NUT2_T014
NUT2_TA083;Plan de comidas sociales;Preparar estrategia de flexibilidad: elegir prioridades, disfrutar y volver normal.;Reducir miedo a eventos.;bajo;antes de evento;conductual;NUT2_T035
NUT2_TA084;Plan de hidratos para entrenamiento;Elegir fuente de hidrato antes/después según duración e intensidad.;Mejorar rendimiento.;bajo;según entreno;deportiva;NUT2_T018
NUT2_TA085;Revisión de analítica/diagnóstico referido;Registrar dato aportado y recomendar coordinación con sanitario si hay patología.;No invadir ámbito médico.;alto;según caso;seguridad;NUT2_T056
