problema_id;area_id;nombre;descripcion;poblacion;tipo_intervencion;nivel_riesgo;fuente_ids
NUT2_P039;NUT2_A007;Diarrea recurrente no explicada;Síntomas persistentes o alternantes que requieren valoración sanitaria.;adultos;derivación;alto;NUT2_SRC014
NUT2_P040;NUT2_A007;Sospecha de intolerancia a lactosa;Molestias tras lácteos que requieren evaluación y prueba estructurada.;adultos;digestiva;medio;NUT2_SRC014
NUT2_P041;NUT2_A007;Sospecha de sensibilidad digestiva a FODMAP;Síntomas compatibles que requieren supervisión dietética.;adultos;digestiva;medio;NUT2_SRC017
NUT2_P042;NUT2_A007;Celiaquía diagnosticada / dieta sin gluten;Necesidad de adherencia estricta y prevención de contaminación cruzada.;adultos/niños;digestiva;alto;NUT2_SRC018
NUT2_P043;NUT2_A007;Reintroducción alimentaria estructurada;Necesidad de identificar tolerancias sin restricciones innecesarias.;adultos;digestiva;medio;"NUT2_SRC017;NUT2_SRC014"
NUT2_P044;NUT2_A008;Comer emocional;Ingestas asociadas a estrés, tristeza, ansiedad o aburrimiento.;adultos;conductual;medio;"NUT2_SRC014;NUT2_SRC004"
NUT2_P045;NUT2_A008;Ansiedad por comida;Preocupación recurrente por comida, control, hambre o elección alimentaria.;adultos;conductual;medio;NUT2_SRC014
NUT2_P046;NUT2_A008;Culpa tras comer;Malestar o autocrítica intensa tras comer ciertos alimentos.;adultos;conductual;medio;NUT2_SRC014
NUT2_P047;NUT2_A008;Restricción excesiva;Eliminación rígida de alimentos o grupos sin indicación clara.;adultos;conductual;alto;NUT2_SRC014
NUT2_P048;NUT2_A008;Atracones o pérdida de control referida;Episodios de ingesta con sensación de pérdida de control que requieren valoración especializada.;adultos;derivación;alto;NUT2_SRC014
NUT2_P049;NUT2_A008;Pensamiento todo/nada en dieta;Alternar control rígido y abandono por errores puntuales.;adultos;conductual;medio;"NUT2_SRC012;NUT2_SRC014"
NUT2_P050;NUT2_A008;Miedo a comer fuera;Ansiedad por restaurantes, eventos o comidas sociales.;adultos;conductual;medio;NUT2_SRC014
NUT2_P051;NUT2_A009;Falta de planificación semanal;Improvisación que lleva a elecciones poco alineadas con objetivos.;general;planificación;bajo;"NUT2_SRC010;NUT2_SRC011"
NUT2_P052;NUT2_A009;Compra poco organizada;Lista de compra ausente o desconectada del menú previsto.;general;planificación;bajo;NUT2_SRC010
NUT2_P053;NUT2_A009;Poco tiempo para cocinar;Necesidad de comidas rápidas y saludables.;general;planificación;bajo;"NUT2_SRC011;NUT2_SRC014"
NUT2_P054;NUT2_A009;Comidas fuera frecuentes;Necesidad de elegir mejor en restaurantes, cafeterías o trabajo.;general;planificación;bajo;"NUT2_SRC010;NUT2_SRC011"
NUT2_P055;NUT2_A009;Turnos laborales y alimentación;Horarios irregulares que alteran comidas, hambre y planificación.;adultos;planificación;medio;NUT2_SRC014
NUT2_P056;NUT2_A009;Batch cooking inicial;Objetivo de preparar bases alimentarias para varios días.;general;planificación;bajo;"NUT2_SRC010;NUT2_SRC011"
NUT2_P057;NUT2_A010;Nutrición en adolescencia activa;Necesidades de energía, proteína y hábitos en crecimiento y actividad.;adolescentes;etapa_vital;medio;"NUT2_SRC001;NUT2_SRC014"
NUT2_P058;NUT2_A010;Nutrición en embarazo;Alimentación y seguridad alimentaria que requieren coordinación sanitaria.;embarazo;derivación/coordinación;alto;NUT2_SRC014
NUT2_P059;NUT2_A010;Nutrición en posparto/lactancia;Necesidades, energía, hidratación y apoyo, coordinando con profesional sanitario.;posparto;etapa_vital;medio;NUT2_SRC014
NUT2_P060;NUT2_A010;Nutrición en menopausia;Cambios de composición corporal, saciedad, calcio, proteína y salud cardiovascular.;adultas;etapa_vital;medio;"NUT2_SRC013;NUT2_SRC014"
NUT2_P061;NUT2_A010;Nutrición en mayores;Riesgo de baja proteína, pérdida muscular, hidratación y apetito bajo.;mayores;etapa_vital;alto;"NUT2_SRC015;NUT2_SRC014"
NUT2_P062;NUT2_A010;Pérdida de apetito en mayores;Disminución de ingesta que puede afectar peso y masa muscular.;mayores;derivación/coordinación;alto;NUT2_SRC015
NUT2_P063;NUT2_A011;Dieta vegetariana equilibrada;Planificar proteína, hierro, B12, omega-3 y variedad.;general;dieta_especial;medio;"NUT2_SRC014;NUT2_SRC004"
NUT2_P064;NUT2_A011;Dieta vegana equilibrada;Planificación de B12, proteína, hierro, calcio, omega-3 y alimentos clave.;general;dieta_especial;alto;"NUT2_SRC014;NUT2_SRC004"
NUT2_P065;NUT2_A011;Dieta sin gluten por celiaquía;Adherencia y contaminación cruzada tras diagnóstico confirmado.;general;dieta_especial;alto;NUT2_SRC018
NUT2_P066;NUT2_A011;Dieta sin lactosa no planificada;Evitar lácteos sin estrategia de calcio/proteína o sin prueba clara.;general;dieta_especial;medio;NUT2_SRC014
NUT2_P067;NUT2_A011;Adaptación cultural/religiosa;Ajustar pauta a cultura, religión, horarios o disponibilidad de alimentos.;general;dieta_especial;bajo;"NUT2_SRC010;NUT2_SRC004"
NUT2_P068;NUT2_A012;Bajo peso o pérdida involuntaria;Peso bajo o pérdida no intencional que requiere valoración sanitaria.;adultos/mayores;derivación;alto;NUT2_SRC015
NUT2_P069;NUT2_A012;Riesgo de desnutrición;Ingesta insuficiente, fragilidad o enfermedad con riesgo nutricional.;adultos/mayores;derivación;alto;NUT2_SRC015
NUT2_P070;NUT2_A012;Señales de TCA;Restricción extrema, atracones, purgas, miedo intenso a peso o distorsión corporal.;general;derivación;alto;NUT2_SRC014
NUT2_P071;NUT2_A012;Dietas extremas o detox;Prácticas restrictivas, promesas rápidas o eliminación innecesaria de grupos.;general;seguridad;medio;"NUT2_SRC005;NUT2_SRC014"
NUT2_P072;NUT2_A012;Síntomas físicos asociados a dieta;Mareos, debilidad, amenorrea, caída de pelo o fatiga marcada.;general;derivación;alto;"NUT2_SRC014;NUT2_SRC015"
NUT2_P073;NUT2_A013;Hidratación insuficiente;Baja ingesta de agua o dificultad para mantener hidratación.;general;hábitos;bajo;"NUT2_SRC011;NUT2_SRC009"
NUT2_P074;NUT2_A013;Consumo frecuente de alcohol;Alcohol frecuente que afecta energía, sueño, peso o salud.;adultos;hábitos;medio;"NUT2_SRC001;NUT2_SRC011"
NUT2_P075;NUT2_A013;Refrescos azucarados frecuentes;Bebidas azucaradas como fuente relevante de energía y azúcar.;general;hábitos;medio;"NUT2_SRC001;NUT2_SRC007"
NUT2_P076;NUT2_A013;Cafeína desorganizada;Consumo de cafeína que afecta sueño, ansiedad o entrenamientos.;adultos;hábitos;bajo;NUT2_SRC014
NUT2_P077;NUT2_A014;Uso de proteína en polvo;Interés en usar proteína como ayuda práctica, no sustituto de dieta.;general/deportistas;suplementación;bajo;NUT2_SRC016
NUT2_P078;NUT2_A014;Uso de creatina;Interés en creatina y pautas generales de seguridad/expectativas.;deportistas/general;suplementación;medio;NUT2_SRC016
NUT2_P079;NUT2_A014;Vitamina B12 en dieta vegana;Necesidad de suplementación/seguimiento en dieta vegana.;veganos;suplementación;alto;NUT2_SRC014
NUT2_P080;NUT2_A014;Vitamina D o hierro bajos referidos;Resultados o sospecha que requieren coordinación sanitaria.;general;derivación/coordinación;alto;NUT2_SRC014
NUT2_P081;NUT2_A014;Exceso de suplementos innecesarios;Uso de múltiples suplementos sin indicación, expectativa o control claro.;general;suplementación;medio;"NUT2_SRC005;NUT2_SRC014"
