tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tipo_intervencion;tecnica_id
SEX_TA050;Inventario de intimidad emocional;Listar acciones no sexuales que aumentan cercanía y seguridad.;Fortalecer base relacional.;bajo;20 min;pareja;SEX_T052
SEX_TA051;Plan adolescente de privacidad digital;Trabajar límites, imágenes, presión, consentimiento y búsqueda de ayuda.;Prevenir riesgos digitales.;alto;educativa;adolescentes;SEX_T053
SEX_TA052;Adaptación en lectura fácil;Convertir pautas sexuales/relacionales a pasos claros, pictos o lenguaje sencillo.;Hacer accesible la educación sexual.;medio;variable;educativa;SEX_T054
SEX_TA053;Registro de medicación y cambios sexuales;Anotar cambios de deseo, excitación u orgasmo y medicación temporalmente relacionada.;Preparar consulta médica.;alto;2-4 semanas;médica_derivación;SEX_T050
SEX_TA054;Mapa de rechazo e iniciativa;Registrar cómo se pide, cómo se rechaza y cómo se repara emocionalmente.;Reducir heridas por rechazo.;bajo;semanal;pareja;SEX_T051
SEX_TA055;Conversación de cuidados después de intimidad;Acordar cómo cerrar encuentros: afecto, pausa, feedback, cuidado o espacio.;Aumentar seguridad y conexión.;bajo;semanal;pareja;SEX_T052
SEX_TA056;Registro de prácticas de autocuidado sexual;Registrar sueño, estrés, actividad física, consumo, salud y estado emocional.;Detectar factores generales.;bajo;7 días;individual;SEX_T002
SEX_TA057;Semáforo de consentimiento;Clasificar situaciones en verde/amarillo/rojo y decidir acciones.;Educar consentimiento de forma visual.;medio;30 min;educativa/pareja;SEX_T018
SEX_TA058;Plan de salida segura;Preparar recursos si existe miedo o presión en una relación.;Aumentar seguridad ante coerción.;alto;supervisado;seguridad;SEX_T033
SEX_TA059;Revisión de objetivos sexuales realistas;Convertir demandas vagas en objetivos observables y respetuosos.;Clarificar plan terapéutico.;bajo;sesión;individual/pareja;SEX_T047
SEX_TA060;Diario de intimidad positiva;Registrar momentos de cercanía no necesariamente sexuales y qué los facilitó.;Ampliar foco más allá del problema.;bajo;7 días;pareja/individual;SEX_T009
SEX_TA061;Práctica de pedir pausa;Ensayar pedir pausa de forma clara y recibirla sin castigo.;Normalizar límites.;medio;sesión/casa;pareja;SEX_T017
SEX_TA062;Registro de dolor/malestar;Anotar intensidad, localización, contexto y factores, sin forzar repetición.;Información para derivación y cuidado.;alto;según caso;médica_derivación;SEX_T029
SEX_TA063;Plan de recursos ante trauma;Lista de señales, grounding, apoyos, límites y profesionales de referencia.;Estabilización y derivación.;alto;supervisado;individual;SEX_T032
SEX_TA064;Escala de presión sexual percibida;Valorar presión propia/externa 0-10 y decidir si pausar o negociar.;Prevenir coerción sutil.;medio;cada situación;individual/pareja;SEX_T004
SEX_TA065;Ficha de revisión de acuerdos;Revisar qué acuerdo funcionó, qué no y qué cambiar sin culpabilizar.;Mantener comunicación.;bajo;semanal;pareja;SEX_T023
