tecnica_id;nombre;descripcion;nivel_riesgo;tipo_intervencion;fuente_ids
SEX_T023;Solución de problemas en pareja;Definir problema sexual/relacional, opciones, acuerdos, prueba y revisión.;bajo;pareja;"SEX_SRC004;SEX_SRC010"
SEX_T024;Planificación flexible de encuentros íntimos;Crear oportunidades de intimidad sin convertirlas en obligación o examen.;bajo;pareja;"SEX_SRC012;SEX_SRC010"
SEX_T025;Educación sobre respuesta eréctil;Normalizar variabilidad, factores médicos y psicológicos, y criterios de derivación.;medio;individual/pareja;"SEX_SRC006;SEX_SRC013"
SEX_T026;Manejo de ansiedad de rendimiento;Reducir presión, autoobservación, catastrofismo y evitación.;medio;individual/pareja;"SEX_SRC004;SEX_SRC014"
SEX_T027;Técnicas psicosexuales para eyaculación precoz;Entrenamiento conductual general, comunicación y reducción de ansiedad, bajo guía profesional.;medio;individual/pareja;"SEX_SRC007;SEX_SRC011"
SEX_T028;Trabajo con dificultad orgásmica;Reducir presión, aumentar conocimiento de respuesta, comunicación y atención sensorial.;medio;individual/pareja;"SEX_SRC010;SEX_SRC017"
SEX_T029;Plan de dolor sexual con derivación;Coordinar con medicina/fisioterapia, evitar forzar dolor y trabajar miedo/anticipación.;alto;médica_derivación;"SEX_SRC017;SEX_SRC012"
SEX_T030;Exposición gradual a penetración/exploración médica;Solo con consentimiento, sin dolor y en coordinación médica si procede.;alto;médica_derivación;"SEX_SRC017;SEX_SRC012"
SEX_T031;Regulación del sistema nervioso;Respiración, grounding, pausa y recursos de seguridad ante activación.;medio;individual;"SEX_SRC005;SEX_SRC018"
SEX_T032;Intervención informada en trauma;Priorizar seguridad, control, consentimiento, estabilización y derivación especializada.;alto;trauma;"SEX_SRC005;SEX_SRC018"
SEX_T033;Plan de seguridad y derivación;Definir riesgo, contactos, recursos, servicios especializados y límites profesionales.;alto;seguridad;"SEX_SRC005;SEX_SRC001"
SEX_T034;Trabajo afirmativo en diversidad sexual;Acompañar orientación/identidad sin patologizar, validando contexto y seguridad.;medio;afirmativa;"SEX_SRC001;SEX_SRC003"
SEX_T035;Mapa de apoyo y revelación segura;Planificar si/cuándo/a quién comunicar orientación o identidad, priorizando seguridad.;medio;afirmativa;"SEX_SRC001;SEX_SRC003"
SEX_T036;Educación sexual inclusiva;Información adaptada, respetuosa y no discriminatoria sobre sexualidad y diversidad.;bajo;educativa;"SEX_SRC001;SEX_SRC003"
SEX_T037;Análisis funcional de conducta sexual problemática;Identificar disparadores, emociones, consecuencias y función del comportamiento.;medio;individual;"SEX_SRC004;SEX_SRC010"
SEX_T038;Plan de reducción de consumo problemático;Límites digitales, sustitutos, prevención de recaídas y valores personales.;medio;individual;"SEX_SRC004;SEX_SRC010"
SEX_T039;Reestructuración de pornomitos;Diferenciar ficción, expectativas, cuerpos, consentimiento y realidad relacional.;bajo;educativa;"SEX_SRC001;SEX_SRC013"
SEX_T040;Trabajo con culpa y valores;Explorar conflicto entre deseo, valores, cultura, religión y bienestar sin imponer.;medio;individual;"SEX_SRC001;SEX_SRC003"
SEX_T041;Adaptación sexual en etapas vitales;Ajustar intimidad a embarazo, posparto, menopausia, edad, salud o discapacidad.;medio;individual/pareja;"SEX_SRC016;SEX_SRC017;SEX_SRC001"
SEX_T042;Plan de comunicación médico-sexual;Preparar preguntas y datos para consulta médica sobre síntomas sexuales.;bajo;médica_derivación;"SEX_SRC006;SEX_SRC017;SEX_SRC013"
SEX_T043;Prevención sexual y autocuidado;Información sobre pruebas, barreras, anticoncepción, comunicación y reducción de riesgos.;medio;educativa;"SEX_SRC015;SEX_SRC001"
SEX_T044;Trabajo con infertilidad y sexualidad programada;Reducir presión reproductiva y recuperar intimidad no instrumental.;medio;pareja/individual;"SEX_SRC001;SEX_SRC004"
SEX_T045;Plan de prevención de recaídas;Detectar señales tempranas, barreras, acuerdos y estrategias de mantenimiento.;bajo;individual/pareja;"SEX_SRC004;SEX_SRC010"
SEX_T046;Coordinación interdisciplinar;Coordinar con ginecología, urología, medicina, fisioterapia de suelo pélvico o psiquiatría.;alto;médica_derivación;"SEX_SRC006;SEX_SRC017;SEX_SRC013"
SEX_T047;Entrevista motivacional en sexualidad;Explorar ambivalencia, metas, autonomía y pequeños cambios sostenibles.;bajo;individual/pareja;"SEX_SRC004;SEX_SRC010"
SEX_T048;Trabajo de valores e intimidad;Clarificar qué significa una vida sexual/afectiva valiosa para la persona/pareja.;bajo;individual/pareja;"SEX_SRC001;SEX_SRC003"
SEX_T049;Psychoeducación sobre ITS y pruebas;Información práctica para reducir miedo, fomentar pruebas y comunicación responsable.;medio;educativa;SEX_SRC015
SEX_T050;Revisión de medicación y salud general;Registrar cambios y derivar al prescriptor ante posible efecto sexual farmacológico.;alto;médica_derivación;"SEX_SRC013;SEX_SRC017"
SEX_T051;Trabajo con rechazo y autoestima relacional;Manejo de rechazo, iniciativa, vulnerabilidad y seguridad emocional.;bajo;individual/pareja;"SEX_SRC004;SEX_SRC010"
SEX_T052;Entrenamiento en intimidad emocional;Conversaciones de cercanía, afecto no sexual, validación y confianza.;bajo;pareja;"SEX_SRC012;SEX_SRC010"
SEX_T053;Plan de seguridad en adolescentes;Educación sobre consentimiento, privacidad digital, coerción, prevención y recursos.;alto;educativa/seguridad;"SEX_SRC001;SEX_SRC015"
SEX_T054;Lectura fácil / adaptación cognitiva;Adaptar información sexual a capacidades cognitivas, discapacidad o necesidades de apoyo.;medio;educativa;"SEX_SRC001;SEX_SRC003"
