recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_clinica
R0152;P007;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0153;P007;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0154;P007;T005;TA005;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0155;P007;T005;TA006;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0156;P007;T005;TA007;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0157;P007;T005;TA054;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0158;P007;T005;TA055;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0159;P007;T009;TA019;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0160;P007;T009;TA020;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0161;P007;T014;TA010;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0162;P007;T020;TA057;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0163;P007;T020;TA058;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0169;P008;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0170;P008;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0171;P008;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0172;P008;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0173;P008;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0174;P008;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0175;P008;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0176;P008;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0177;P008;T005;TA005;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0178;P008;T005;TA006;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0179;P008;T005;TA007;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0180;P008;T005;TA054;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0181;P008;T005;TA055;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0182;P008;T007;TA012;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0183;P008;T007;TA013;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0184;P008;T007;TA014;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0185;P008;T007;TA053;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0186;P008;T018;TA029;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0191;P009;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0192;P009;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0193;P009;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0194;P009;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0195;P009;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0196;P009;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0197;P009;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0198;P009;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0199;P009;T005;TA005;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0200;P009;T005;TA006;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0201;P009;T005;TA007;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0202;P009;T005;TA054;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0203;P009;T005;TA055;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0204;P009;T010;TA021;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0205;P009;T010;TA022;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0206;P009;T010;TA024;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0207;P009;T011;TA023;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0208;P009;T018;TA029;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0219;P010;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0220;P010;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0221;P010;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0222;P010;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0223;P010;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0224;P010;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0225;P010;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0226;P010;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0227;P010;T005;TA005;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0228;P010;T005;TA006;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0229;P010;T005;TA007;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0230;P010;T005;TA054;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0231;P010;T005;TA055;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0232;P010;T010;TA021;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0233;P010;T010;TA022;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0234;P010;T010;TA024;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0235;P010;T011;TA023;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0236;P010;T018;TA029;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0247;P011;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0248;P011;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0249;P011;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0250;P011;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0251;P011;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0252;P011;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0253;P011;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0254;P011;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0255;P011;T005;TA005;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0256;P011;T005;TA006;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0257;P011;T005;TA007;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0258;P011;T005;TA054;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0259;P011;T005;TA055;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0260;P011;T010;TA021;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0261;P011;T010;TA022;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0262;P011;T010;TA024;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0263;P011;T011;TA023;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0264;P011;T018;TA029;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0273;P012;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0274;P012;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0275;P012;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0276;P012;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0277;P012;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0278;P012;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0279;P012;T010;TA021;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0280;P012;T010;TA022;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0281;P012;T010;TA024;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0282;P012;T011;TA023;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0283;P012;T019;TA056;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0284;P012;T026;TA044;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0285;P012;T027;TA025;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0286;P012;T027;TA028;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0287;P013;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0288;P013;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0289;P013;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0290;P013;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0291;P013;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0292;P013;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0293;P013;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0294;P013;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0295;P013;T018;TA029;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0296;P013;T018;TA030;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0297;P013;T018;TA031;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0298;P013;T018;TA032;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0299;P013;T019;TA056;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0300;P013;T026;TA044;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0301;P013;T027;TA025;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0302;P013;T027;TA028;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0303;P013;T030;TA026;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0304;P013;T030;TA027;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0305;P014;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0306;P014;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0307;P014;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0308;P014;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0309;P014;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0310;P014;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0311;P014;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0312;P014;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0313;P014;T015;TA059;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0314;P014;T020;TA057;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0315;P014;T020;TA058;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0316;P014;T020;TA060;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0317;P014;T020;TA063;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0318;P014;T021;TA061;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0319;P014;T022;TA062;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0320;P014;T027;TA025;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0321;P014;T027;TA028;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0322;P015;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0323;P015;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0324;P015;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0325;P015;T002;TA004;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0326;P015;T002;TA016;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0327;P015;T002;TA018;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0328;P015;T002;TA041;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0329;P015;T002;TA045;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0330;P015;T015;TA059;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0331;P015;T020;TA057;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0332;P015;T020;TA058;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0333;P015;T020;TA060;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0334;P015;T020;TA063;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0335;P015;T026;TA044;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0336;P015;T027;TA025;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0337;P015;T027;TA028;media;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0338;P016;T001;TA001;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0339;P016;T001;TA002;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
R0340;P016;T002;TA003;alta;El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
