exercise_id;bodymuscles_id;role;intensity
FIT_EX008;traps-mid-right;primary;100
FIT_EX008;biceps-left;secondary;65
FIT_EX008;biceps-right;secondary;65
FIT_EX008;lower-back-erectors-left;secondary;65
FIT_EX008;lower-back-erectors-right;secondary;65
FIT_EX009;lats-mid-left;primary;100
FIT_EX009;lats-mid-right;primary;100
FIT_EX009;traps-mid-left;primary;100
FIT_EX009;traps-mid-right;primary;100
FIT_EX009;biceps-left;secondary;65
FIT_EX009;biceps-right;secondary;65
FIT_EX009;deltoid-rear-left;secondary;65
FIT_EX009;deltoid-rear-right;secondary;65
FIT_EX010;lats-mid-left;primary;100
FIT_EX010;lats-mid-right;primary;100
FIT_EX010;lats-lower-left;primary;100
FIT_EX010;lats-lower-right;primary;100
FIT_EX010;biceps-left;secondary;65
FIT_EX010;biceps-right;secondary;65
FIT_EX010;traps-mid-left;secondary;65
FIT_EX010;traps-mid-right;secondary;65
FIT_EX011;shoulder-front-left;primary;100
FIT_EX011;shoulder-front-right;primary;100
FIT_EX011;shoulder-side-left;primary;100
FIT_EX011;shoulder-side-right;primary;100
FIT_EX011;triceps-long-left;secondary;65
FIT_EX011;triceps-lateral-left;secondary;65
FIT_EX011;triceps-long-right;secondary;65
FIT_EX011;triceps-lateral-right;secondary;65
FIT_EX011;traps-upper-left;secondary;65
FIT_EX011;traps-upper-right;secondary;65
FIT_EX012;shoulder-side-left;primary;100
FIT_EX012;shoulder-side-right;primary;100
FIT_EX013;deltoid-rear-left;primary;100
FIT_EX013;deltoid-rear-right;primary;100
FIT_EX013;traps-mid-left;secondary;65
FIT_EX013;traps-mid-right;secondary;65
FIT_EX014;deltoid-rear-left;primary;100
FIT_EX014;deltoid-rear-right;primary;100
FIT_EX014;traps-mid-left;primary;100
FIT_EX014;traps-mid-right;primary;100
FIT_EX014;traps-lower-left;secondary;65
FIT_EX014;traps-lower-right;secondary;65
FIT_EX015;traps-upper-left;primary;100
FIT_EX015;traps-upper-right;primary;100
FIT_EX016;biceps-left;primary;100
FIT_EX016;biceps-right;primary;100
FIT_EX016;forearm-left;secondary;65
FIT_EX016;forearm-right;secondary;65
FIT_EX017;biceps-left;primary;100
FIT_EX017;biceps-right;primary;100
FIT_EX017;forearm-left;secondary;65
FIT_EX017;forearm-right;secondary;65
FIT_EX018;triceps-long-left;primary;100
FIT_EX018;triceps-lateral-left;primary;100
FIT_EX018;triceps-long-right;primary;100
FIT_EX018;triceps-lateral-right;primary;100
FIT_EX019;triceps-long-left;primary;100
FIT_EX019;triceps-long-right;primary;100
FIT_EX019;triceps-lateral-left;secondary;65
FIT_EX019;triceps-lateral-right;secondary;65
FIT_EX020;forearm-flexors-left;primary;100
FIT_EX020;forearm-flexors-right;primary;100
FIT_EX021;forearm-extensors-left;primary;100
FIT_EX021;forearm-extensors-right;primary;100
FIT_EX022;quads-left;primary;100
FIT_EX022;quads-right;primary;100
FIT_EX022;gluteus-maximus-left;primary;100
FIT_EX022;gluteus-maximus-right;primary;100
FIT_EX022;adductors-left;secondary;65
FIT_EX022;adductors-right;secondary;65
FIT_EX022;hamstrings-medial-left;secondary;65
FIT_EX022;hamstrings-medial-right;secondary;65
FIT_EX022;lower-back-erectors-left;secondary;65
FIT_EX022;lower-back-erectors-right;secondary;65
FIT_EX023;quads-left;primary;100
FIT_EX023;quads-right;primary;100
FIT_EX023;gluteus-maximus-left;secondary;65
FIT_EX023;gluteus-maximus-right;secondary;65
FIT_EX023;abs-upper-left;secondary;65
FIT_EX023;abs-upper-right;secondary;65
FIT_EX023;lower-back-erectors-left;secondary;65
FIT_EX023;lower-back-erectors-right;secondary;65
FIT_EX024;quads-left;primary;100
FIT_EX024;quads-right;primary;100
FIT_EX024;gluteus-maximus-left;primary;100
FIT_EX024;gluteus-maximus-right;primary;100
FIT_EX024;adductors-left;secondary;65
FIT_EX024;adductors-right;secondary;65
FIT_EX025;quads-left;primary;100
FIT_EX025;quads-right;primary;100
FIT_EX025;knee-left;secondary;65
FIT_EX025;knee-right;secondary;65
FIT_EX026;hamstrings-medial-left;primary;100
FIT_EX026;hamstrings-lateral-left;primary;100
FIT_EX026;hamstrings-medial-right;primary;100
FIT_EX026;hamstrings-lateral-right;primary;100
FIT_EX026;gluteus-maximus-left;primary;100
FIT_EX026;gluteus-maximus-right;primary;100
FIT_EX026;lower-back-erectors-left;secondary;65
FIT_EX026;lower-back-erectors-right;secondary;65
FIT_EX027;gluteus-maximus-left;primary;100
FIT_EX027;gluteus-maximus-right;primary;100
FIT_EX027;hamstrings-medial-left;secondary;65
FIT_EX027;hamstrings-medial-right;secondary;65
FIT_EX027;gluteus-medius-left;secondary;65
FIT_EX027;gluteus-medius-right;secondary;65
FIT_EX028;quads-left;primary;100
FIT_EX028;quads-right;primary;100
FIT_EX028;gluteus-maximus-left;primary;100
FIT_EX028;gluteus-maximus-right;primary;100
FIT_EX028;adductors-left;secondary;65
FIT_EX028;adductors-right;secondary;65
FIT_EX028;gluteus-medius-left;secondary;65
FIT_EX028;gluteus-medius-right;secondary;65
FIT_EX029;quads-left;primary;100
FIT_EX029;quads-right;primary;100
FIT_EX029;gluteus-maximus-left;primary;100
FIT_EX029;gluteus-maximus-right;primary;100
FIT_EX029;hamstrings-medial-left;secondary;65
FIT_EX029;hamstrings-medial-right;secondary;65
FIT_EX029;adductors-left;secondary;65
FIT_EX029;adductors-right;secondary;65
FIT_EX030;hamstrings-medial-left;primary;100
FIT_EX030;hamstrings-lateral-left;primary;100
FIT_EX030;hamstrings-medial-right;primary;100
FIT_EX030;hamstrings-lateral-right;primary;100
FIT_EX030;knee-back-left;secondary;65
FIT_EX030;knee-back-right;secondary;65
FIT_EX031;calves-gastroc-medial-left;primary;100
FIT_EX031;calves-gastroc-lateral-left;primary;100
FIT_EX031;calves-gastroc-medial-right;primary;100
FIT_EX031;calves-gastroc-lateral-right;primary;100
FIT_EX032;calves-soleus-left;primary;100
FIT_EX032;calves-soleus-right;primary;100
FIT_EX033;abs-upper-left;primary;100
FIT_EX033;abs-upper-right;primary;100
FIT_EX033;abs-lower-left;primary;100
FIT_EX033;abs-lower-right;primary;100
FIT_EX033;obliques-left;secondary;65
FIT_EX033;obliques-right;secondary;65
FIT_EX033;lower-back-erectors-left;secondary;65
FIT_EX033;lower-back-erectors-right;secondary;65
FIT_EX034;abs-upper-left;primary;100
FIT_EX034;abs-upper-right;primary;100
FIT_EX034;abs-lower-left;secondary;65
FIT_EX034;abs-lower-right;secondary;65
FIT_EX035;abs-lower-left;primary;100
FIT_EX035;abs-lower-right;primary;100
FIT_EX035;hip-flexor-left;primary;100
FIT_EX035;hip-flexor-right;primary;100
FIT_EX035;forearm-left;secondary;65
FIT_EX035;forearm-right;secondary;65
FIT_EX036;obliques-left;primary;100
FIT_EX036;obliques-right;primary;100
FIT_EX036;abs-upper-left;secondary;65
FIT_EX036;abs-upper-right;secondary;65
FIT_EX036;abs-lower-left;secondary;65
FIT_EX036;abs-lower-right;secondary;65
FIT_EX037;obliques-left;primary;100
FIT_EX037;obliques-right;primary;100
FIT_EX037;abs-upper-left;primary;100
FIT_EX037;abs-upper-right;primary;100
FIT_EX037;serratus-anterior-left;secondary;65
FIT_EX037;serratus-anterior-right;secondary;65
FIT_EX038;lower-back-erectors-left;primary;100
FIT_EX038;lower-back-erectors-right;primary;100
FIT_EX038;abs-lower-left;primary;100
FIT_EX038;abs-lower-right;primary;100
FIT_EX038;gluteus-maximus-left;secondary;65
FIT_EX038;gluteus-maximus-right;secondary;65
FIT_EX038;shoulder-front-left;secondary;65
FIT_EX038;shoulder-front-right;secondary;65
FIT_EX039;gluteus-maximus-left;primary;100
FIT_EX039;gluteus-maximus-right;primary;100
FIT_EX039;hamstrings-medial-left;secondary;65
FIT_EX039;hamstrings-medial-right;secondary;65
FIT_EX039;lower-back-erectors-left;secondary;65
FIT_EX039;lower-back-erectors-right;secondary;65
FIT_EX040;quads-left;primary;100
FIT_EX040;quads-right;primary;100
FIT_EX040;gluteus-maximus-left;primary;100
FIT_EX040;gluteus-maximus-right;primary;100
FIT_EX040;gluteus-medius-left;secondary;65
FIT_EX040;gluteus-medius-right;secondary;65
FIT_EX040;calves-gastroc-medial-left;secondary;65
FIT_EX040;calves-gastroc-medial-right;secondary;65
FIT_EX041;quads-left;primary;100
FIT_EX041;quads-right;primary;100
FIT_EX041;gluteus-maximus-left;primary;100
FIT_EX041;gluteus-maximus-right;primary;100
FIT_EX041;abs-upper-left;secondary;65
FIT_EX041;abs-upper-right;secondary;65
FIT_EX041;adductors-left;secondary;65
FIT_EX041;adductors-right;secondary;65
FIT_EX042;gluteus-maximus-left;primary;100
FIT_EX042;gluteus-maximus-right;primary;100
FIT_EX042;hamstrings-medial-left;primary;100
FIT_EX042;hamstrings-medial-right;primary;100
FIT_EX042;lower-back-erectors-left;secondary;65
FIT_EX042;lower-back-erectors-right;secondary;65
FIT_EX042;traps-upper-left;secondary;65
FIT_EX042;traps-upper-right;secondary;65
FIT_EX043;lats-mid-left;primary;100
FIT_EX043;lats-mid-right;primary;100
FIT_EX043;traps-mid-left;primary;100
FIT_EX043;traps-mid-right;primary;100
FIT_EX043;biceps-left;secondary;65
FIT_EX043;biceps-right;secondary;65
FIT_EX044;deltoid-rear-left;primary;100
FIT_EX044;deltoid-rear-right;primary;100
FIT_EX044;traps-mid-left;primary;100
FIT_EX044;traps-mid-right;primary;100
FIT_EX044;traps-lower-left;secondary;65
FIT_EX044;traps-lower-right;secondary;65
FIT_EX045;lats-mid-left;primary;100
FIT_EX045;lats-mid-right;primary;100
FIT_EX045;traps-mid-left;primary;100
FIT_EX045;traps-mid-right;primary;100
FIT_EX045;biceps-left;secondary;65
FIT_EX045;biceps-right;secondary;65
FIT_EX045;abs-upper-left;secondary;65
FIT_EX045;abs-upper-right;secondary;65
FIT_EX046;shoulder-side-left;primary;100
FIT_EX046;shoulder-side-right;primary;100
FIT_EX047;chest-upper-left;primary;100
FIT_EX047;chest-upper-right;primary;100
FIT_EX047;chest-lower-left;primary;100
FIT_EX047;chest-lower-right;primary;100
FIT_EX048;shoulder-front-left;primary;100
FIT_EX048;shoulder-front-right;primary;100
FIT_EX048;shoulder-side-left;primary;100
FIT_EX048;shoulder-side-right;primary;100
FIT_EX048;triceps-long-left;secondary;65
FIT_EX048;triceps-long-right;secondary;65
FIT_EX049;lats-upper-left;primary;100
FIT_EX049;lats-upper-right;primary;100
FIT_EX049;lats-mid-left;primary;100
FIT_EX049;lats-mid-right;primary;100
FIT_EX049;biceps-left;secondary;65
FIT_EX049;biceps-right;secondary;65
FIT_EX049;traps-mid-left;secondary;65
FIT_EX049;traps-mid-right;secondary;65
FIT_EX050;obliques-left;primary;100
FIT_EX050;obliques-right;primary;100
FIT_EX050;serratus-anterior-left;primary;100
FIT_EX050;serratus-anterior-right;primary;100
FIT_EX050;abs-upper-left;secondary;65
FIT_EX050;abs-upper-right;secondary;65
FIT_EX051;triceps-long-left;primary;100
FIT_EX051;triceps-lateral-left;primary;100
FIT_EX051;triceps-long-right;primary;100
FIT_EX051;triceps-lateral-right;primary;100
FIT_EX051;chest-lower-left;primary;100
FIT_EX051;chest-lower-right;primary;100
FIT_EX051;shoulder-front-left;secondary;65
FIT_EX051;shoulder-front-right;secondary;65
FIT_EX052;lats-upper-left;primary;100
FIT_EX052;lats-upper-right;primary;100
FIT_EX052;lats-mid-left;primary;100
FIT_EX052;lats-mid-right;primary;100
FIT_EX052;biceps-left;primary;100
FIT_EX052;biceps-right;primary;100
FIT_EX052;forearm-left;secondary;65
FIT_EX052;forearm-right;secondary;65
FIT_EX053;quads-left;primary;100
FIT_EX053;quads-right;primary;100
FIT_EX053;gluteus-maximus-left;primary;100
FIT_EX053;gluteus-maximus-right;primary;100
FIT_EX053;adductors-left;secondary;65
FIT_EX053;adductors-right;secondary;65
FIT_EX054;quads-left;primary;100
FIT_EX054;quads-right;primary;100
FIT_EX054;gluteus-maximus-left;primary;100
FIT_EX054;gluteus-maximus-right;primary;100
FIT_EX054;gluteus-medius-left;secondary;65
FIT_EX054;gluteus-medius-right;secondary;65
FIT_EX055;obliques-left;primary;100
FIT_EX055;obliques-right;primary;100
FIT_EX055;abs-lower-left;secondary;65
FIT_EX055;abs-lower-right;secondary;65
FIT_EX055;gluteus-medius-left;secondary;65
FIT_EX055;gluteus-medius-right;secondary;65
