exercise_id;name_en;name_es;equipment_id;category;difficulty;mechanics;movement_pattern;description_es;cues_es;source_ids
FIT_EX013;Rear Delt Fly;Pájaros / deltoide posterior;EQ_DUMBBELL;Hombro;Principiante;Aislamiento;Abducción horizontal;Trabajo de deltoides posterior.;Mantener control escapular y no balancear.;"FIT_SRC005;FIT_SRC006"
FIT_EX014;Face Pull;Face pull;EQ_CABLE;Hombro;Principiante;Aislamiento;Tirón alto;Trabajo de deltoide posterior, trapecio medio y rotadores externos.;Tirar hacia la cara con codos altos y control.;"FIT_SRC005;FIT_SRC006"
FIT_EX015;Dumbbell Shrug;Encogimientos con mancuernas;EQ_DUMBBELL;Trapecio;Principiante;Aislamiento;Elevación escapular;Ejercicio directo para trapecio superior.;Subir hombros verticalmente sin rodarlos.;"FIT_SRC005;FIT_SRC006"
FIT_EX016;Barbell Curl;Curl bíceps con barra;EQ_BARBELL;Brazos;Principiante;Aislamiento;Flexión codo;Ejercicio básico para bíceps.;Evitar balanceo y mantener codos estables.;"FIT_SRC005;FIT_SRC006"
FIT_EX017;Dumbbell Hammer Curl;Curl martillo;EQ_DUMBBELL;Brazos;Principiante;Aislamiento;Flexión codo;Variante de bíceps y antebrazo con agarre neutro.;Controlar muñecas y recorrido.;"FIT_SRC005;FIT_SRC006"
FIT_EX018;Triceps Pushdown;Extensión tríceps en polea;EQ_CABLE;Brazos;Principiante;Aislamiento;Extensión codo;Aislamiento de tríceps en polea.;Codos pegados y extender sin balancear.;"FIT_SRC005;FIT_SRC006"
FIT_EX019;Overhead Triceps Extension;Extensión tríceps sobre cabeza;EQ_DUMBBELL;Brazos;Principiante;Aislamiento;Extensión codo;Variante con énfasis en cabeza larga del tríceps.;Mantener codos relativamente fijos.;"FIT_SRC005;FIT_SRC006"
FIT_EX020;Wrist Curl;Curl de muñeca;EQ_DUMBBELL;Antebrazo;Principiante;Aislamiento;Flexión muñeca;Trabajo de flexores del antebrazo.;Recorrido lento y controlado.;"FIT_SRC005;FIT_SRC006"
FIT_EX021;Reverse Wrist Curl;Extensión de muñeca;EQ_DUMBBELL;Antebrazo;Principiante;Aislamiento;Extensión muñeca;Trabajo de extensores del antebrazo.;Carga ligera y control.;"FIT_SRC005;FIT_SRC006"
FIT_EX022;Back Squat;Sentadilla trasera;EQ_BARBELL;Piernas;Intermedio;Compuesto;Sentadilla;Ejercicio global de pierna con barra.;Mantener estabilidad, profundidad adecuada y control de rodillas.;"FIT_SRC005;FIT_SRC006"
FIT_EX023;Front Squat;Sentadilla frontal;EQ_BARBELL;Piernas;Avanzado;Compuesto;Sentadilla;Sentadilla con mayor demanda de tronco y cuádriceps.;Mantener torso vertical y codos altos.;"FIT_SRC005;FIT_SRC006"
FIT_EX024;Leg Press;Prensa de piernas;EQ_MACHINE;Piernas;Principiante;Compuesto;Empuje de pierna;Empuje guiado para piernas.;No despegar pelvis ni bloquear rodillas de forma agresiva.;"FIT_SRC005;FIT_SRC006"
FIT_EX025;Leg Extension;Extensión de piernas;EQ_MACHINE;Piernas;Principiante;Aislamiento;Extensión rodilla;Aislamiento de cuádriceps.;Controlar subida y bajada.;"FIT_SRC005;FIT_SRC006"
FIT_EX026;Romanian Deadlift;Peso muerto rumano;EQ_BARBELL;Piernas;Intermedio;Compuesto;Bisagra cadera;Trabajo de isquios, glúteos y espalda posterior.;Bisagra de cadera, espalda neutra y barra cerca del cuerpo.;"FIT_SRC005;FIT_SRC006"
FIT_EX027;Hip Thrust;Hip thrust;EQ_BARBELL;Glúteos;Intermedio;Compuesto;Extensión cadera;Ejercicio principal de glúteo.;Extender cadera sin hiperextender lumbar.;"FIT_SRC005;FIT_SRC006"
FIT_EX028;Bulgarian Split Squat;Sentadilla búlgara;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;Unilateral pierna;Ejercicio unilateral para cuádriceps y glúteo.;Controlar rodilla, tronco y profundidad.;"FIT_SRC005;FIT_SRC006"
FIT_EX029;Walking Lunge;Zancadas caminando;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;Unilateral pierna;Trabajo unilateral dinámico de pierna.;Paso estable y control de rodilla.;"FIT_SRC005;FIT_SRC006"
FIT_EX030;Leg Curl;Curl femoral en máquina;EQ_MACHINE;Piernas;Principiante;Aislamiento;Flexión rodilla;Aislamiento de isquiosurales.;Controlar fase excéntrica.;"FIT_SRC005;FIT_SRC006"
FIT_EX031;Standing Calf Raise;Elevación de gemelos de pie;EQ_MACHINE;Piernas;Principiante;Aislamiento;Flexión plantar;Trabajo de gastrocnemio.;Pausa arriba y estiramiento controlado abajo.;"FIT_SRC005;FIT_SRC006"
FIT_EX032;Seated Calf Raise;Elevación de sóleo sentado;EQ_MACHINE;Piernas;Principiante;Aislamiento;Flexión plantar;Variante con énfasis en sóleo.;Controlar recorrido completo.;"FIT_SRC005;FIT_SRC006"
FIT_EX033;Plank;Plancha;EQ_BODY;Core;Principiante;Isométrico;Anti-extensión;Ejercicio isométrico de abdomen y estabilidad.;Mantener pelvis neutra y respirar.;"FIT_SRC005;FIT_SRC006"
FIT_EX034;Crunch;Crunch abdominal;EQ_BODY;Core;Principiante;Aislamiento;Flexión tronco;Ejercicio básico de abdominales.;Subir con control sin tirar del cuello.;"FIT_SRC005;FIT_SRC006"
FIT_EX035;Hanging Knee Raise;Elevación de rodillas colgado;EQ_BODY;Core;Intermedio;Compuesto;Flexión cadera;Trabajo de abdomen inferior y flexores de cadera.;Evitar balanceo y controlar pelvis.;"FIT_SRC005;FIT_SRC006"
FIT_EX036;Russian Twist;Giro ruso;EQ_BODY;Core;Principiante;Aislamiento;Rotación tronco;Trabajo de oblicuos.;Rotar con control y sin colapsar espalda.;"FIT_SRC005;FIT_SRC006"
FIT_EX037;Pallof Press;Pallof press;EQ_CABLE;Core;Principiante;Anti-rotación;Anti-rotación;Ejercicio anti-rotacional para core.;Resistir rotación y mantener postura estable.;"FIT_SRC005;FIT_SRC006"
FIT_EX038;Bird Dog;Bird dog;EQ_BODY;Core;Principiante;Estabilidad;Control motor;Ejercicio de estabilidad lumbar y control cruzado.;Mover lento sin rotar pelvis.;"FIT_SRC005;FIT_SRC006"
FIT_EX039;Glute Bridge;Puente de glúteo;EQ_BODY;Glúteos;Principiante;Compuesto;Extensión cadera;Activación y fuerza básica de glúteo.;Empujar desde talones y no arquear lumbar.;"FIT_SRC005;FIT_SRC006"
FIT_EX040;Step-up;Subida al cajón;EQ_DUMBBELL;Piernas;Principiante;Compuesto;Unilateral pierna;Trabajo unilateral de pierna y estabilidad.;Subir con control y evitar impulso excesivo.;"FIT_SRC005;FIT_SRC006"
FIT_EX041;Goblet Squat;Sentadilla goblet;EQ_DUMBBELL;Piernas;Principiante;Compuesto;Sentadilla;Sentadilla accesible con mancuerna/kettlebell.;Mantener torso erguido y codos cerca.;"FIT_SRC005;FIT_SRC006"
FIT_EX042;Kettlebell Swing;Swing con kettlebell;EQ_KETTLEBELL;Potencia;Intermedio;Compuesto;Bisagra cadera;Ejercicio balístico de cadena posterior.;Movimiento de cadera, no sentadilla ni elevación frontal.;"FIT_SRC005;FIT_SRC006"
FIT_EX043;Resistance Band Row;Remo con banda;EQ_BAND;Tirón;Principiante;Compuesto;Tirón horizontal;Remo simple con banda elástica.;Juntar escápulas sin encoger hombros.;"FIT_SRC005;FIT_SRC006"
FIT_EX044;Band Pull-apart;Aperturas con banda;EQ_BAND;Hombro;Principiante;Aislamiento;Retracción escapular;Ejercicio para deltoide posterior y espalda alta.;Brazos extendidos y tensión controlada.;"FIT_SRC005;FIT_SRC006"
FIT_EX045;TRX Row;Remo en TRX;EQ_TRX;Tirón;Principiante;Compuesto;Tirón horizontal;Remo con peso corporal ajustable.;Cuanto más horizontal, más difícil.;"FIT_SRC005;FIT_SRC006"
FIT_EX046;Cable Lateral Raise;Elevación lateral en polea;EQ_CABLE;Hombro;Intermedio;Aislamiento;Abducción hombro;Variante con tensión constante para deltoides lateral.;Mantener control y evitar impulso.;"FIT_SRC005;FIT_SRC006"
FIT_EX047;Pec Deck;Contractora de pecho;EQ_MACHINE;Pecho;Principiante;Aislamiento;Aducción horizontal;Aislamiento de pectoral en máquina.;Ajustar asiento y controlar recorrido.;"FIT_SRC005;FIT_SRC006"
FIT_EX048;Machine Shoulder Press;Press hombro en máquina;EQ_MACHINE;Hombro;Principiante;Compuesto;Empuje vertical;Empuje guiado para deltoides y tríceps.;No perder control escapular.;"FIT_SRC005;FIT_SRC006"
FIT_EX049;Assisted Pull-up;Dominada asistida;EQ_MACHINE;Tirón;Principiante;Compuesto;Tirón vertical;Versión asistida de dominada.;Reducir ayuda progresivamente.;"FIT_SRC005;FIT_SRC006"
FIT_EX050;Cable Woodchop;Woodchop en polea;EQ_CABLE;Core;Intermedio;Compuesto;Rotación tronco;Trabajo rotacional de core.;Rotar con control y cadera estable.;"FIT_SRC005;FIT_SRC006"
FIT_EX051;Dip;Fondos en paralelas;EQ_BODY;Empuje;Intermedio;Compuesto;Empuje vertical/horizontal;Ejercicio para tríceps, pecho y hombro.;Bajar controlado sin dolor de hombro.;"FIT_SRC005;FIT_SRC006"
FIT_EX052;Chin-up;Dominada supina;EQ_BODY;Tirón;Intermedio;Compuesto;Tirón vertical;Dominada con mayor participación del bíceps.;Controlar balanceo y rango.;"FIT_SRC005;FIT_SRC006"
FIT_EX053;Bodyweight Squat;Sentadilla libre;EQ_BODY;Piernas;Principiante;Compuesto;Sentadilla;Patrón básico de sentadilla sin carga externa.;Control de rodillas y profundidad tolerada.;"FIT_SRC005;FIT_SRC006"
FIT_EX054;Reverse Lunge;Zancada atrás;EQ_BODY;Piernas;Principiante;Compuesto;Unilateral pierna;Variante accesible de zancada.;Paso atrás estable y tronco controlado.;"FIT_SRC005;FIT_SRC006"
FIT_EX055;Side Plank;Plancha lateral;EQ_BODY;Core;Principiante;Isométrico;Anti-inclinación;Trabajo isométrico de oblicuos y estabilidad lateral.;Mantener línea hombro-cadera-pie.;"FIT_SRC005;FIT_SRC006"
