tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tipo_intervencion;tecnica_id
FIT2_TA055;Caminata funcional;Caminar a ritmo cómodo con progresión gradual.;Mantener capacidad funcional.;bajo;3-5 días/semana;mayores/cardio;FIT2_T048
FIT2_TA056;Movilidad suave mayores;Rutina articular de cuello, hombros, cadera, rodilla y tobillo.;Mantener rango y autonomía.;bajo;diario;mayores;FIT2_T048
FIT2_TA057;Registro de sueño y energía;Anotar sueño, energía y rendimiento de entrenamiento.;Ajustar recuperación.;bajo;7-14 días;recuperación;FIT2_T051
FIT2_TA058;Día de recuperación activa;Programar paseo, movilidad o descanso en lugar de intensidad.;Mejorar recuperación.;bajo;semanal;recuperación;FIT2_T051
FIT2_TA059;Plan viaje/vacaciones;Definir rutina mínima, pasos y expectativas realistas fuera de casa.;Prevenir abandono.;bajo;antes del viaje;hábitos;FIT2_T053
FIT2_TA060;Plan post-estancamiento;Revisar sueño, nutrición, volumen, intensidad y técnica antes de cambiar todo.;Resolver estancamiento.;medio;cuando proceda;programación;FIT2_T056
FIT2_TA061;Selección por grupo muscular;Elegir 2-4 ejercicios por región Body Muscles objetivo.;Conectar objetivo visual/anatómico.;bajo;según rutina;programación;FIT2_T055
FIT2_TA062;Test flexiones máximas técnicas;Medir repeticiones con técnica válida y sin dolor.;Evaluar resistencia de empuje.;bajo;mensual;evaluación;FIT2_T028
FIT2_TA063;Test sentadilla 60 segundos;Contar repeticiones controladas en 60 segundos.;Evaluar resistencia de piernas.;bajo;mensual;evaluación;FIT2_T028
FIT2_TA064;Test plancha;Medir tiempo de plancha con técnica válida.;Evaluar core.;bajo;mensual;evaluación;FIT2_T020
FIT2_TA065;Test rodilla-pared;Medir dorsiflexión de tobillo de forma consistente.;Evaluar movilidad de tobillo.;bajo;mensual;evaluación;FIT2_T017
FIT2_TA066;Test sentadilla profunda controlada;Observar rango, control y compensaciones sin dolor.;Evaluar movilidad global.;bajo;mensual;evaluación;FIT2_T019
FIT2_TA067;Estimación 1RM submáxima;Calcular 1RM estimado con repeticiones submáximas, sin máximo real innecesario.;Evaluar fuerza.;medio;cada 6-8 semanas;evaluación;FIT2_T010
FIT2_TA068;Revisión de técnica de sentadilla;Checklist de pies, rodillas, cadera, tronco, profundidad y control.;Mejorar sentadilla.;medio;semanal;técnica;FIT2_T013
FIT2_TA069;Revisión de bisagra;Checklist de cadera atrás, columna neutra, tensión dorsal y rango.;Mejorar bisagra.;medio;semanal;técnica;FIT2_T013
FIT2_TA070;Revisión de empuje;Checklist de escápulas, muñeca/codo, trayectoria y control.;Mejorar press/flexión.;bajo;semanal;técnica;FIT2_T013
FIT2_TA071;Revisión de tracción;Checklist de escápula, codo, torso y recorrido.;Mejorar remos/dominadas.;bajo;semanal;técnica;FIT2_T013
FIT2_TA072;Revisión de unilateral;Checklist de equilibrio, rodilla, cadera y control de zancadas.;Mejorar trabajo unilateral.;bajo;semanal;técnica;FIT2_T013
FIT2_TA073;Diario de molestias;Registrar molestia, ejercicio, intensidad 0-10 y evolución 24-48h.;Ajustar sin ignorar señales.;alto;cuando aparezca;seguridad;FIT2_T046
FIT2_TA074;Plan de calentamiento específico;Elegir movilidad y series de aproximación según ejercicio principal.;Preparar básicos.;bajo;cada sesión;preparación;FIT2_T015
FIT2_TA075;Reducción de carga por fatiga;Aplicar autoregulación si sueño/energía/rendimiento están bajos.;Evitar exceso.;medio;cada sesión;programación;FIT2_T056
FIT2_TA076;Reto de pasos progresivo;Subir 500-1000 pasos/día cada 1-2 semanas según tolerancia.;Aumentar gasto y salud.;bajo;semanal;hábitos;FIT2_T023
FIT2_TA077;Plan de cenas/proteína simple;Preparar opciones sencillas de cena alta en proteína si el objetivo lo requiere.;Apoyar recuperación/adherencia.;bajo;semanal;nutrición básica;FIT2_T032
FIT2_TA078;Control de expectativas;Definir ritmo realista de progreso visual, fuerza o peso.;Reducir frustración.;bajo;mensual;hábitos;FIT2_T039
FIT2_TA079;Revisión mensual de progreso;Analizar datos, ajustar plan y fijar siguiente bloque.;Mantener dirección.;bajo;mensual;seguimiento;FIT2_T053
FIT2_TA080;Plan de salida de sedentarismo;Añadir caminatas cortas, pausas activas y fuerza básica gradual.;Reducir sedentarismo.;bajo;2-4 semanas;hábitos;FIT2_T023
