routine_id;day_label;order_num;exercise_id;sets;reps;rest_seconds;notes
FIT_RUT003;Pull 2;4;FIT_EX016;3;8-12;60;
FIT_RUT003;Pull 2;5;FIT_EX017;3;10-12;60;
FIT_RUT003;Legs 2;1;FIT_EX022;4;6-10;150;
FIT_RUT003;Legs 2;2;FIT_EX027;4;8-12;120;
FIT_RUT003;Legs 2;3;FIT_EX028;3;8-12/cada pierna;90;
FIT_RUT003;Legs 2;4;FIT_EX030;3;10-15;75;
FIT_RUT003;Legs 2;5;FIT_EX031;4;12-20;60;
FIT_RUT004;Fuerza A;1;FIT_EX022;5;5;180;
FIT_RUT004;Fuerza A;2;FIT_EX002;5;5;180;
FIT_RUT004;Fuerza A;3;FIT_EX008;5;5;150;
FIT_RUT004;Fuerza A;4;FIT_EX033;3;45-60s;60;
FIT_RUT004;Fuerza B;1;FIT_EX022;5;5;180;
FIT_RUT004;Fuerza B;2;FIT_EX002;5;5;180;
FIT_RUT004;Fuerza B;3;FIT_EX008;5;5;150;
FIT_RUT004;Fuerza B;4;FIT_EX033;3;45-60s;60;
FIT_RUT004;Fuerza C;1;FIT_EX022;5;5;180;
FIT_RUT004;Fuerza C;2;FIT_EX002;5;5;180;
FIT_RUT004;Fuerza C;3;FIT_EX008;5;5;150;
FIT_RUT004;Fuerza C;4;FIT_EX033;3;45-60s;60;
FIT_RUT005;Casa A;1;FIT_EX001;4;8-15;60;
FIT_RUT005;Casa A;2;FIT_EX053;4;12-20;60;
FIT_RUT005;Casa A;3;FIT_EX054;3;10-12/cada pierna;60;
FIT_RUT005;Casa A;4;FIT_EX038;3;10/cada lado;45;
FIT_RUT005;Casa A;5;FIT_EX033;3;30-60s;45;
FIT_RUT005;Casa B;1;FIT_EX001;4;8-15;60;
FIT_RUT005;Casa B;2;FIT_EX053;4;12-20;60;
FIT_RUT005;Casa B;3;FIT_EX054;3;10-12/cada pierna;60;
FIT_RUT005;Casa B;4;FIT_EX038;3;10/cada lado;45;
FIT_RUT005;Casa B;5;FIT_EX033;3;30-60s;45;
FIT_RUT005;Casa C;1;FIT_EX001;4;8-15;60;
FIT_RUT005;Casa C;2;FIT_EX053;4;12-20;60;
FIT_RUT005;Casa C;3;FIT_EX054;3;10-12/cada pierna;60;
FIT_RUT005;Casa C;4;FIT_EX038;3;10/cada lado;45;
FIT_RUT005;Casa C;5;FIT_EX033;3;30-60s;45;
