bodymuscles_id;exercise_id;exercise_name_es;exercise_name_en;equipment_id;category;difficulty;mechanics;role;intensity
calves-gastroc-medial-right;FIT_EX031;Elevación de gemelos de pie;Standing Calf Raise;EQ_MACHINE;Piernas;Principiante;Aislamiento;primary;100
calves-gastroc-medial-right;FIT_EX040;Subida al cajón;Step-up;EQ_DUMBBELL;Piernas;Principiante;Compuesto;secondary;65
calves-soleus-left;FIT_EX032;Elevación de sóleo sentado;Seated Calf Raise;EQ_MACHINE;Piernas;Principiante;Aislamiento;primary;100
calves-soleus-right;FIT_EX032;Elevación de sóleo sentado;Seated Calf Raise;EQ_MACHINE;Piernas;Principiante;Aislamiento;primary;100
chest-lower-left;FIT_EX001;Flexión;Push-up;EQ_BODY;Empuje;Principiante;Compuesto;primary;100
chest-lower-left;FIT_EX002;Press banca con barra;Bench Press;EQ_BARBELL;Empuje;Intermedio;Compuesto;primary;100
chest-lower-left;FIT_EX004;Aperturas en polea;Cable Fly;EQ_CABLE;Empuje;Intermedio;Aislamiento;primary;100
chest-lower-left;FIT_EX005;Press de pecho en máquina;Machine Chest Press;EQ_MACHINE;Empuje;Principiante;Compuesto;primary;100
chest-lower-left;FIT_EX047;Contractora de pecho;Pec Deck;EQ_MACHINE;Pecho;Principiante;Aislamiento;primary;100
chest-lower-left;FIT_EX051;Fondos en paralelas;Dip;EQ_BODY;Empuje;Intermedio;Compuesto;primary;100
chest-lower-right;FIT_EX001;Flexión;Push-up;EQ_BODY;Empuje;Principiante;Compuesto;primary;100
chest-lower-right;FIT_EX002;Press banca con barra;Bench Press;EQ_BARBELL;Empuje;Intermedio;Compuesto;primary;100
chest-lower-right;FIT_EX004;Aperturas en polea;Cable Fly;EQ_CABLE;Empuje;Intermedio;Aislamiento;primary;100
chest-lower-right;FIT_EX005;Press de pecho en máquina;Machine Chest Press;EQ_MACHINE;Empuje;Principiante;Compuesto;primary;100
chest-lower-right;FIT_EX047;Contractora de pecho;Pec Deck;EQ_MACHINE;Pecho;Principiante;Aislamiento;primary;100
chest-lower-right;FIT_EX051;Fondos en paralelas;Dip;EQ_BODY;Empuje;Intermedio;Compuesto;primary;100
chest-upper-left;FIT_EX001;Flexión;Push-up;EQ_BODY;Empuje;Principiante;Compuesto;primary;100
chest-upper-left;FIT_EX002;Press banca con barra;Bench Press;EQ_BARBELL;Empuje;Intermedio;Compuesto;primary;100
chest-upper-left;FIT_EX003;Press inclinado con mancuernas;Incline Dumbbell Press;EQ_DUMBBELL;Empuje;Intermedio;Compuesto;primary;100
chest-upper-left;FIT_EX004;Aperturas en polea;Cable Fly;EQ_CABLE;Empuje;Intermedio;Aislamiento;primary;100
chest-upper-left;FIT_EX005;Press de pecho en máquina;Machine Chest Press;EQ_MACHINE;Empuje;Principiante;Compuesto;primary;100
chest-upper-left;FIT_EX047;Contractora de pecho;Pec Deck;EQ_MACHINE;Pecho;Principiante;Aislamiento;primary;100
chest-upper-right;FIT_EX001;Flexión;Push-up;EQ_BODY;Empuje;Principiante;Compuesto;primary;100
chest-upper-right;FIT_EX002;Press banca con barra;Bench Press;EQ_BARBELL;Empuje;Intermedio;Compuesto;primary;100
chest-upper-right;FIT_EX003;Press inclinado con mancuernas;Incline Dumbbell Press;EQ_DUMBBELL;Empuje;Intermedio;Compuesto;primary;100
chest-upper-right;FIT_EX004;Aperturas en polea;Cable Fly;EQ_CABLE;Empuje;Intermedio;Aislamiento;primary;100
chest-upper-right;FIT_EX005;Press de pecho en máquina;Machine Chest Press;EQ_MACHINE;Empuje;Principiante;Compuesto;primary;100
chest-upper-right;FIT_EX047;Contractora de pecho;Pec Deck;EQ_MACHINE;Pecho;Principiante;Aislamiento;primary;100
deltoid-rear-left;FIT_EX009;Remo sentado en polea;Seated Cable Row;EQ_CABLE;Tirón;Principiante;Compuesto;secondary;65
deltoid-rear-left;FIT_EX013;Pájaros / deltoide posterior;Rear Delt Fly;EQ_DUMBBELL;Hombro;Principiante;Aislamiento;primary;100
deltoid-rear-left;FIT_EX014;Face pull;Face Pull;EQ_CABLE;Hombro;Principiante;Aislamiento;primary;100
deltoid-rear-left;FIT_EX044;Aperturas con banda;Band Pull-apart;EQ_BAND;Hombro;Principiante;Aislamiento;primary;100
deltoid-rear-right;FIT_EX009;Remo sentado en polea;Seated Cable Row;EQ_CABLE;Tirón;Principiante;Compuesto;secondary;65
deltoid-rear-right;FIT_EX013;Pájaros / deltoide posterior;Rear Delt Fly;EQ_DUMBBELL;Hombro;Principiante;Aislamiento;primary;100
deltoid-rear-right;FIT_EX014;Face pull;Face Pull;EQ_CABLE;Hombro;Principiante;Aislamiento;primary;100
deltoid-rear-right;FIT_EX044;Aperturas con banda;Band Pull-apart;EQ_BAND;Hombro;Principiante;Aislamiento;primary;100
forearm-extensors-left;FIT_EX021;Extensión de muñeca;Reverse Wrist Curl;EQ_DUMBBELL;Antebrazo;Principiante;Aislamiento;primary;100
forearm-extensors-right;FIT_EX021;Extensión de muñeca;Reverse Wrist Curl;EQ_DUMBBELL;Antebrazo;Principiante;Aislamiento;primary;100
forearm-flexors-left;FIT_EX020;Curl de muñeca;Wrist Curl;EQ_DUMBBELL;Antebrazo;Principiante;Aislamiento;primary;100
forearm-flexors-right;FIT_EX020;Curl de muñeca;Wrist Curl;EQ_DUMBBELL;Antebrazo;Principiante;Aislamiento;primary;100
forearm-left;FIT_EX006;Dominada;Pull-up;EQ_BODY;Tirón;Intermedio;Compuesto;secondary;65
forearm-left;FIT_EX016;Curl bíceps con barra;Barbell Curl;EQ_BARBELL;Brazos;Principiante;Aislamiento;secondary;65
forearm-left;FIT_EX017;Curl martillo;Dumbbell Hammer Curl;EQ_DUMBBELL;Brazos;Principiante;Aislamiento;secondary;65
forearm-left;FIT_EX035;Elevación de rodillas colgado;Hanging Knee Raise;EQ_BODY;Core;Intermedio;Compuesto;secondary;65
forearm-left;FIT_EX052;Dominada supina;Chin-up;EQ_BODY;Tirón;Intermedio;Compuesto;secondary;65
forearm-right;FIT_EX006;Dominada;Pull-up;EQ_BODY;Tirón;Intermedio;Compuesto;secondary;65
forearm-right;FIT_EX016;Curl bíceps con barra;Barbell Curl;EQ_BARBELL;Brazos;Principiante;Aislamiento;secondary;65
forearm-right;FIT_EX017;Curl martillo;Dumbbell Hammer Curl;EQ_DUMBBELL;Brazos;Principiante;Aislamiento;secondary;65
forearm-right;FIT_EX035;Elevación de rodillas colgado;Hanging Knee Raise;EQ_BODY;Core;Intermedio;Compuesto;secondary;65
forearm-right;FIT_EX052;Dominada supina;Chin-up;EQ_BODY;Tirón;Intermedio;Compuesto;secondary;65
gluteus-maximus-left;FIT_EX022;Sentadilla trasera;Back Squat;EQ_BARBELL;Piernas;Intermedio;Compuesto;primary;100
gluteus-maximus-left;FIT_EX023;Sentadilla frontal;Front Squat;EQ_BARBELL;Piernas;Avanzado;Compuesto;secondary;65
gluteus-maximus-left;FIT_EX024;Prensa de piernas;Leg Press;EQ_MACHINE;Piernas;Principiante;Compuesto;primary;100
gluteus-maximus-left;FIT_EX026;Peso muerto rumano;Romanian Deadlift;EQ_BARBELL;Piernas;Intermedio;Compuesto;primary;100
gluteus-maximus-left;FIT_EX027;Hip thrust;Hip Thrust;EQ_BARBELL;Glúteos;Intermedio;Compuesto;primary;100
gluteus-maximus-left;FIT_EX028;Sentadilla búlgara;Bulgarian Split Squat;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;primary;100
gluteus-maximus-left;FIT_EX029;Zancadas caminando;Walking Lunge;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;primary;100
gluteus-maximus-left;FIT_EX038;Bird dog;Bird Dog;EQ_BODY;Core;Principiante;Estabilidad;secondary;65
gluteus-maximus-left;FIT_EX039;Puente de glúteo;Glute Bridge;EQ_BODY;Glúteos;Principiante;Compuesto;primary;100
gluteus-maximus-left;FIT_EX040;Subida al cajón;Step-up;EQ_DUMBBELL;Piernas;Principiante;Compuesto;primary;100
gluteus-maximus-left;FIT_EX041;Sentadilla goblet;Goblet Squat;EQ_DUMBBELL;Piernas;Principiante;Compuesto;primary;100
gluteus-maximus-left;FIT_EX042;Swing con kettlebell;Kettlebell Swing;EQ_KETTLEBELL;Potencia;Intermedio;Compuesto;primary;100
gluteus-maximus-left;FIT_EX053;Sentadilla libre;Bodyweight Squat;EQ_BODY;Piernas;Principiante;Compuesto;primary;100
gluteus-maximus-left;FIT_EX054;Zancada atrás;Reverse Lunge;EQ_BODY;Piernas;Principiante;Compuesto;primary;100
gluteus-maximus-right;FIT_EX022;Sentadilla trasera;Back Squat;EQ_BARBELL;Piernas;Intermedio;Compuesto;primary;100
gluteus-maximus-right;FIT_EX023;Sentadilla frontal;Front Squat;EQ_BARBELL;Piernas;Avanzado;Compuesto;secondary;65
gluteus-maximus-right;FIT_EX024;Prensa de piernas;Leg Press;EQ_MACHINE;Piernas;Principiante;Compuesto;primary;100
gluteus-maximus-right;FIT_EX026;Peso muerto rumano;Romanian Deadlift;EQ_BARBELL;Piernas;Intermedio;Compuesto;primary;100
gluteus-maximus-right;FIT_EX027;Hip thrust;Hip Thrust;EQ_BARBELL;Glúteos;Intermedio;Compuesto;primary;100
gluteus-maximus-right;FIT_EX028;Sentadilla búlgara;Bulgarian Split Squat;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;primary;100
gluteus-maximus-right;FIT_EX029;Zancadas caminando;Walking Lunge;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;primary;100
gluteus-maximus-right;FIT_EX038;Bird dog;Bird Dog;EQ_BODY;Core;Principiante;Estabilidad;secondary;65
gluteus-maximus-right;FIT_EX039;Puente de glúteo;Glute Bridge;EQ_BODY;Glúteos;Principiante;Compuesto;primary;100
gluteus-maximus-right;FIT_EX040;Subida al cajón;Step-up;EQ_DUMBBELL;Piernas;Principiante;Compuesto;primary;100
gluteus-maximus-right;FIT_EX041;Sentadilla goblet;Goblet Squat;EQ_DUMBBELL;Piernas;Principiante;Compuesto;primary;100
gluteus-maximus-right;FIT_EX042;Swing con kettlebell;Kettlebell Swing;EQ_KETTLEBELL;Potencia;Intermedio;Compuesto;primary;100
gluteus-maximus-right;FIT_EX053;Sentadilla libre;Bodyweight Squat;EQ_BODY;Piernas;Principiante;Compuesto;primary;100
gluteus-maximus-right;FIT_EX054;Zancada atrás;Reverse Lunge;EQ_BODY;Piernas;Principiante;Compuesto;primary;100
gluteus-medius-left;FIT_EX027;Hip thrust;Hip Thrust;EQ_BARBELL;Glúteos;Intermedio;Compuesto;secondary;65
gluteus-medius-left;FIT_EX028;Sentadilla búlgara;Bulgarian Split Squat;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;secondary;65
gluteus-medius-left;FIT_EX040;Subida al cajón;Step-up;EQ_DUMBBELL;Piernas;Principiante;Compuesto;secondary;65
gluteus-medius-left;FIT_EX054;Zancada atrás;Reverse Lunge;EQ_BODY;Piernas;Principiante;Compuesto;secondary;65
gluteus-medius-left;FIT_EX055;Plancha lateral;Side Plank;EQ_BODY;Core;Principiante;Isométrico;secondary;65
gluteus-medius-right;FIT_EX027;Hip thrust;Hip Thrust;EQ_BARBELL;Glúteos;Intermedio;Compuesto;secondary;65
gluteus-medius-right;FIT_EX028;Sentadilla búlgara;Bulgarian Split Squat;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;secondary;65
gluteus-medius-right;FIT_EX040;Subida al cajón;Step-up;EQ_DUMBBELL;Piernas;Principiante;Compuesto;secondary;65
gluteus-medius-right;FIT_EX054;Zancada atrás;Reverse Lunge;EQ_BODY;Piernas;Principiante;Compuesto;secondary;65
gluteus-medius-right;FIT_EX055;Plancha lateral;Side Plank;EQ_BODY;Core;Principiante;Isométrico;secondary;65
hamstrings-lateral-left;FIT_EX026;Peso muerto rumano;Romanian Deadlift;EQ_BARBELL;Piernas;Intermedio;Compuesto;primary;100
hamstrings-lateral-left;FIT_EX030;Curl femoral en máquina;Leg Curl;EQ_MACHINE;Piernas;Principiante;Aislamiento;primary;100
hamstrings-lateral-right;FIT_EX026;Peso muerto rumano;Romanian Deadlift;EQ_BARBELL;Piernas;Intermedio;Compuesto;primary;100
hamstrings-lateral-right;FIT_EX030;Curl femoral en máquina;Leg Curl;EQ_MACHINE;Piernas;Principiante;Aislamiento;primary;100
hamstrings-medial-left;FIT_EX022;Sentadilla trasera;Back Squat;EQ_BARBELL;Piernas;Intermedio;Compuesto;secondary;65
hamstrings-medial-left;FIT_EX026;Peso muerto rumano;Romanian Deadlift;EQ_BARBELL;Piernas;Intermedio;Compuesto;primary;100
hamstrings-medial-left;FIT_EX027;Hip thrust;Hip Thrust;EQ_BARBELL;Glúteos;Intermedio;Compuesto;secondary;65
hamstrings-medial-left;FIT_EX029;Zancadas caminando;Walking Lunge;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;secondary;65
hamstrings-medial-left;FIT_EX030;Curl femoral en máquina;Leg Curl;EQ_MACHINE;Piernas;Principiante;Aislamiento;primary;100
hamstrings-medial-left;FIT_EX039;Puente de glúteo;Glute Bridge;EQ_BODY;Glúteos;Principiante;Compuesto;secondary;65
hamstrings-medial-left;FIT_EX042;Swing con kettlebell;Kettlebell Swing;EQ_KETTLEBELL;Potencia;Intermedio;Compuesto;primary;100
hamstrings-medial-right;FIT_EX022;Sentadilla trasera;Back Squat;EQ_BARBELL;Piernas;Intermedio;Compuesto;secondary;65
hamstrings-medial-right;FIT_EX026;Peso muerto rumano;Romanian Deadlift;EQ_BARBELL;Piernas;Intermedio;Compuesto;primary;100
hamstrings-medial-right;FIT_EX027;Hip thrust;Hip Thrust;EQ_BARBELL;Glúteos;Intermedio;Compuesto;secondary;65
hamstrings-medial-right;FIT_EX029;Zancadas caminando;Walking Lunge;EQ_DUMBBELL;Piernas;Intermedio;Compuesto;secondary;65
hamstrings-medial-right;FIT_EX030;Curl femoral en máquina;Leg Curl;EQ_MACHINE;Piernas;Principiante;Aislamiento;primary;100
hamstrings-medial-right;FIT_EX039;Puente de glúteo;Glute Bridge;EQ_BODY;Glúteos;Principiante;Compuesto;secondary;65
hamstrings-medial-right;FIT_EX042;Swing con kettlebell;Kettlebell Swing;EQ_KETTLEBELL;Potencia;Intermedio;Compuesto;primary;100
hip-flexor-left;FIT_EX035;Elevación de rodillas colgado;Hanging Knee Raise;EQ_BODY;Core;Intermedio;Compuesto;primary;100
hip-flexor-right;FIT_EX035;Elevación de rodillas colgado;Hanging Knee Raise;EQ_BODY;Core;Intermedio;Compuesto;primary;100
knee-back-left;FIT_EX030;Curl femoral en máquina;Leg Curl;EQ_MACHINE;Piernas;Principiante;Aislamiento;secondary;65
knee-back-right;FIT_EX030;Curl femoral en máquina;Leg Curl;EQ_MACHINE;Piernas;Principiante;Aislamiento;secondary;65
knee-left;FIT_EX025;Extensión de piernas;Leg Extension;EQ_MACHINE;Piernas;Principiante;Aislamiento;secondary;65
knee-right;FIT_EX025;Extensión de piernas;Leg Extension;EQ_MACHINE;Piernas;Principiante;Aislamiento;secondary;65
lats-lower-left;FIT_EX006;Dominada;Pull-up;EQ_BODY;Tirón;Intermedio;Compuesto;primary;100
lats-lower-left;FIT_EX007;Jalón al pecho;Lat Pulldown;EQ_CABLE;Tirón;Principiante;Compuesto;primary;100
lats-lower-left;FIT_EX010;Remo unilateral con mancuerna;One-arm Dumbbell Row;EQ_DUMBBELL;Tirón;Principiante;Compuesto;primary;100
lats-lower-right;FIT_EX006;Dominada;Pull-up;EQ_BODY;Tirón;Intermedio;Compuesto;primary;100
lats-lower-right;FIT_EX007;Jalón al pecho;Lat Pulldown;EQ_CABLE;Tirón;Principiante;Compuesto;primary;100
lats-lower-right;FIT_EX010;Remo unilateral con mancuerna;One-arm Dumbbell Row;EQ_DUMBBELL;Tirón;Principiante;Compuesto;primary;100
lats-mid-left;FIT_EX006;Dominada;Pull-up;EQ_BODY;Tirón;Intermedio;Compuesto;primary;100
lats-mid-left;FIT_EX007;Jalón al pecho;Lat Pulldown;EQ_CABLE;Tirón;Principiante;Compuesto;primary;100
lats-mid-left;FIT_EX008;Remo con barra;Barbell Row;EQ_BARBELL;Tirón;Intermedio;Compuesto;primary;100
lats-mid-left;FIT_EX009;Remo sentado en polea;Seated Cable Row;EQ_CABLE;Tirón;Principiante;Compuesto;primary;100
lats-mid-left;FIT_EX010;Remo unilateral con mancuerna;One-arm Dumbbell Row;EQ_DUMBBELL;Tirón;Principiante;Compuesto;primary;100
lats-mid-left;FIT_EX043;Remo con banda;Resistance Band Row;EQ_BAND;Tirón;Principiante;Compuesto;primary;100
lats-mid-left;FIT_EX045;Remo en TRX;TRX Row;EQ_TRX;Tirón;Principiante;Compuesto;primary;100
lats-mid-left;FIT_EX049;Dominada asistida;Assisted Pull-up;EQ_MACHINE;Tirón;Principiante;Compuesto;primary;100
lats-mid-left;FIT_EX052;Dominada supina;Chin-up;EQ_BODY;Tirón;Intermedio;Compuesto;primary;100
lats-mid-right;FIT_EX006;Dominada;Pull-up;EQ_BODY;Tirón;Intermedio;Compuesto;primary;100
lats-mid-right;FIT_EX007;Jalón al pecho;Lat Pulldown;EQ_CABLE;Tirón;Principiante;Compuesto;primary;100
lats-mid-right;FIT_EX008;Remo con barra;Barbell Row;EQ_BARBELL;Tirón;Intermedio;Compuesto;primary;100
lats-mid-right;FIT_EX009;Remo sentado en polea;Seated Cable Row;EQ_CABLE;Tirón;Principiante;Compuesto;primary;100
lats-mid-right;FIT_EX010;Remo unilateral con mancuerna;One-arm Dumbbell Row;EQ_DUMBBELL;Tirón;Principiante;Compuesto;primary;100
lats-mid-right;FIT_EX043;Remo con banda;Resistance Band Row;EQ_BAND;Tirón;Principiante;Compuesto;primary;100
lats-mid-right;FIT_EX045;Remo en TRX;TRX Row;EQ_TRX;Tirón;Principiante;Compuesto;primary;100
lats-mid-right;FIT_EX049;Dominada asistida;Assisted Pull-up;EQ_MACHINE;Tirón;Principiante;Compuesto;primary;100
lats-mid-right;FIT_EX052;Dominada supina;Chin-up;EQ_BODY;Tirón;Intermedio;Compuesto;primary;100
lats-upper-left;FIT_EX006;Dominada;Pull-up;EQ_BODY;Tirón;Intermedio;Compuesto;primary;100
lats-upper-left;FIT_EX007;Jalón al pecho;Lat Pulldown;EQ_CABLE;Tirón;Principiante;Compuesto;primary;100
lats-upper-left;FIT_EX049;Dominada asistida;Assisted Pull-up;EQ_MACHINE;Tirón;Principiante;Compuesto;primary;100
lats-upper-left;FIT_EX052;Dominada supina;Chin-up;EQ_BODY;Tirón;Intermedio;Compuesto;primary;100
lats-upper-right;FIT_EX006;Dominada;Pull-up;EQ_BODY;Tirón;Intermedio;Compuesto;primary;100
lats-upper-right;FIT_EX007;Jalón al pecho;Lat Pulldown;EQ_CABLE;Tirón;Principiante;Compuesto;primary;100
lats-upper-right;FIT_EX049;Dominada asistida;Assisted Pull-up;EQ_MACHINE;Tirón;Principiante;Compuesto;primary;100
lats-upper-right;FIT_EX052;Dominada supina;Chin-up;EQ_BODY;Tirón;Intermedio;Compuesto;primary;100
