problema_id;area_id;nombre;descripcion;poblacion;tipo_intervencion;nivel_riesgo;fuente_ids
FIS2_P025;FIS2_A005;Debilidad de manguito rotador;Déficit de fuerza/control en rotación externa, abducción o estabilidad de hombro.;adultos;fuerza;medio;FIS2_SRC012
FIS2_P026;FIS2_A005;Dolor de hombro nocturno persistente;Dolor nocturno o pérdida funcional que requiere valoración específica.;adultos;seguridad;alto;FIS2_SRC012
FIS2_P027;FIS2_A006;Epicondilalgia lateral;Dolor lateral de codo asociado a carga de extensores, agarre o repetición.;adultos;tendinopatía;medio;"FIS2_SRC002;FIS2_SRC003"
FIS2_P028;FIS2_A006;Dolor medial de codo;Dolor medial relacionado con flexores/pronadores o carga repetida.;adultos;musculoesquelética;medio;FIS2_SRC002
FIS2_P029;FIS2_A006;Dolor de muñeca por carga;Molestia en muñeca asociada a apoyos, ordenador, deporte o fuerza.;adultos;musculoesquelética;medio;FIS2_SRC002
FIS2_P030;FIS2_A006;Rigidez de mano/dedos;Limitación de movilidad o función de mano que requiere evaluación.;adultos;movilidad;medio;"FIS2_SRC001;FIS2_SRC018"
FIS2_P031;FIS2_A006;Déficit de fuerza de agarre;Pérdida o baja fuerza de agarre con impacto funcional.;adultos;fuerza;medio;"FIS2_SRC001;FIS2_SRC018"
FIS2_P032;FIS2_A007;Dolor de cadera inespecífico;Molestia de cadera o región glútea con limitación funcional.;adultos;musculoesquelética;medio;"FIS2_SRC002;FIS2_SRC018"
FIS2_P033;FIS2_A007;Rigidez de cadera;Limitación de flexión, extensión o rotación que afecta marcha, sentadilla o deporte.;adultos;movilidad;bajo;FIS2_SRC016
FIS2_P034;FIS2_A007;Debilidad glútea;Déficit de fuerza/control de glúteo medio/mayor que afecta pelvis, rodilla o marcha.;adultos;fuerza;bajo;FIS2_SRC016
FIS2_P035;FIS2_A007;Dolor lateral de cadera;Dolor en región trocantérica asociado a carga o compresión lateral.;adultos;tendinopatía;medio;FIS2_SRC002
FIS2_P036;FIS2_A007;Control pélvico bajo en apoyo unipodal;Dificultad para controlar pelvis en zancada, escalón o carrera.;adultos;control_motor;bajo;FIS2_SRC016
FIS2_P037;FIS2_A008;Dolor de rodilla inespecífico;Dolor de rodilla que limita marcha, escaleras, sentadilla o deporte.;adultos/adolescentes;musculoesquelética;medio;"FIS2_SRC014;FIS2_SRC008"
FIS2_P038;FIS2_A008;Dolor femoropatelar;Dolor anterior de rodilla relacionado con escaleras, sentadilla, carrera o sedestación.;adultos/adolescentes;musculoesquelética;medio;FIS2_SRC014
FIS2_P039;FIS2_A008;Artrosis de rodilla;Dolor, rigidez y limitación funcional por artrosis diagnosticada o referida.;adultos/mayores;artrosis;medio;FIS2_SRC008
FIS2_P040;FIS2_A008;Déficit de fuerza de cuádriceps;Baja fuerza o control de extensión de rodilla.;adultos;fuerza;bajo;"FIS2_SRC014;FIS2_SRC008"
FIS2_P041;FIS2_A008;Valgo dinámico de rodilla;Colapso medial de rodilla en sentadilla, salto, zancada o carrera.;adultos/adolescentes;control_motor;medio;"FIS2_SRC014;FIS2_SRC016"
FIS2_P042;FIS2_A008;Rigidez de rodilla;Limitación de flexión/extensión con impacto funcional.;adultos;movilidad;medio;FIS2_SRC008
FIS2_P043;FIS2_A009;Esguince de tobillo en fase de recuperación;Recuperación progresiva de movilidad, fuerza, equilibrio y función tras esguince.;adultos/deportistas;readaptación;medio;"FIS2_SRC002;FIS2_SRC018"
FIS2_P044;FIS2_A009;Inestabilidad de tobillo recurrente;Sensación de fallo o esguinces repetidos que requieren propiocepción y fuerza.;adultos/deportistas;readaptación;medio;FIS2_SRC002
FIS2_P045;FIS2_A009;Tendinopatía aquílea;Dolor/rigidez en tendón de Aquiles relacionado con carga.;adultos/deportistas;tendinopatía;medio;FIS2_SRC013
FIS2_P046;FIS2_A009;Fascitis plantar / dolor plantar;Dolor plantar o talalgia asociado a carga, rigidez o calzado.;adultos;musculoesquelética;medio;FIS2_SRC015
FIS2_P047;FIS2_A009;Movilidad de tobillo limitada;Dorsiflexión reducida que afecta marcha, sentadilla o carrera.;adultos;movilidad;bajo;FIS2_SRC016
FIS2_P048;FIS2_A009;Alteración de marcha por dolor;Cambios en marcha por dolor, miedo o debilidad.;adultos/mayores;funcional;medio;"FIS2_SRC001;FIS2_SRC018"
FIS2_P049;FIS2_A010;Tendinopatía rotuliana;Dolor anterior/inferior de rodilla relacionado con salto, carrera o carga.;deportistas/adultos;tendinopatía;medio;FIS2_SRC014
FIS2_P050;FIS2_A010;Tendinopatía de hombro;Dolor tendinoso relacionado con carga de hombro.;adultos/deportistas;tendinopatía;medio;FIS2_SRC012
FIS2_P051;FIS2_A010;Tendinopatía glútea;Dolor lateral de cadera relacionado con carga/compresión tendinosa.;adultos;tendinopatía;medio;FIS2_SRC002
FIS2_P052;FIS2_A010;Sobrecarga por aumento brusco de actividad;Dolor o molestias tras incremento rápido de volumen, intensidad o frecuencia.;adultos/deportistas;carga;medio;"FIS2_SRC005;FIS2_SRC017"
FIS2_P053;FIS2_A010;Miedo a cargar un tendón;Evitación excesiva de carga por dolor o incertidumbre.;adultos/deportistas;educación;medio;FIS2_SRC013
FIS2_P054;FIS2_A011;Retorno a la carrera;Volver a correr tras pausa, dolor o lesión con progresión segura.;deportistas;readaptación;medio;"FIS2_SRC005;FIS2_SRC017"
FIS2_P055;FIS2_A011;Retorno al salto;Recuperar saltos, aterrizajes y tolerancia a impactos.;deportistas;readaptación;medio;FIS2_SRC005
FIS2_P056;FIS2_A011;Retorno a cambios de dirección;Progresar agilidad, frenadas y giros tras lesión/pausa.;deportistas;readaptación;medio;FIS2_SRC005
FIS2_P057;FIS2_A011;Déficit de fuerza unilateral;Asimetrías relevantes entre lados en fuerza o control.;deportistas/adultos;readaptación;medio;"FIS2_SRC004;FIS2_SRC005"
FIS2_P058;FIS2_A011;Prevención de lesiones deportivas;Reducir riesgo mediante fuerza, carga, técnica y recuperación.;deportistas;prevención;bajo;"FIS2_SRC005;FIS2_SRC017"
FIS2_P059;FIS2_A012;Postoperatorio musculoesquelético general;Rehabilitación por fases tras cirugía, con indicaciones médicas.;adultos;postoperatorio;alto;"FIS2_SRC001;FIS2_SRC010"
FIS2_P060;FIS2_A012;Rigidez postoperatoria;Limitación de rango tras cirugía o inmovilización.;adultos;postoperatorio;alto;FIS2_SRC010
FIS2_P061;FIS2_A012;Edema postoperatorio o postraumático;Hinchazón tras cirugía, fractura o lesión que requiere seguimiento.;adultos;postoperatorio;medio;FIS2_SRC010
FIS2_P062;FIS2_A012;Rehabilitación tras fractura no compleja;Recuperación progresiva tras autorización médica.;adultos;postfractura;alto;FIS2_SRC010
FIS2_P063;FIS2_A012;Adherencia a protocolo quirúrgico;Dificultad para cumplir fases, restricciones y ejercicios pautados.;adultos;postoperatorio;medio;FIS2_SRC010
FIS2_P064;FIS2_A013;Rehabilitación tras ictus - movilidad;Dificultad de movilidad funcional tras ictus.;adultos;neurológica;alto;FIS2_SRC009
FIS2_P065;FIS2_A013;Déficit de equilibrio neurológico;Alteración de equilibrio por causa neurológica o ictus.;adultos;neurológica;alto;FIS2_SRC009
FIS2_P066;FIS2_A013;Reeducación de la marcha neurológica;Necesidad de trabajo de marcha, seguridad y función tras ictus/neurológico.;adultos;neurológica;alto;FIS2_SRC009
FIS2_P067;FIS2_A013;Debilidad post-ictus;Déficit de fuerza/control motor tras ictus.;adultos;neurológica;alto;FIS2_SRC009
FIS2_P068;FIS2_A013;Fatiga neurológica funcional;Fatiga que limita actividad y requiere dosificación.;adultos;neurológica;alto;FIS2_SRC009
FIS2_P069;FIS2_A014;Baja tolerancia al esfuerzo;Fatiga o disnea leve/moderada al realizar actividad funcional.;adultos;respiratoria/funcional;medio;"FIS2_SRC001;FIS2_SRC017"
FIS2_P070;FIS2_A014;Reentrenamiento respiratorio básico;Necesidad de trabajar patrón respiratorio y control de ventilación.;adultos;respiratoria;medio;"FIS2_SRC001;FIS2_SRC018"
FIS2_P071;FIS2_A014;Desacondicionamiento cardiorrespiratorio;Pérdida de capacidad tras inactividad, enfermedad o sedentarismo.;adultos/mayores;funcional;medio;"FIS2_SRC001;FIS2_SRC017"
FIS2_P072;FIS2_A014;Secreciones o dificultad respiratoria referida;Situación que puede requerir fisioterapia respiratoria específica o derivación.;adultos;respiratoria;alto;"FIS2_SRC001;FIS2_SRC018"
FIS2_P073;FIS2_A015;Riesgo de caída;Factores de equilibrio, fuerza, entorno o marcha que aumentan riesgo de caídas.;mayores;seguridad;alto;"FIS2_SRC001;FIS2_SRC018"
FIS2_P074;FIS2_A015;Fragilidad funcional;Pérdida de fuerza, velocidad, resistencia o autonomía.;mayores;funcional;alto;FIS2_SRC001
FIS2_P075;FIS2_A015;Dificultad para levantarse de silla;Déficit de fuerza/control en transferencia sit-to-stand.;mayores;funcional;medio;"FIS2_SRC001;FIS2_SRC017"
FIS2_P076;FIS2_A015;Marcha insegura en mayores;Inseguridad o lentitud en marcha que afecta autonomía.;mayores;funcional;alto;FIS2_SRC001
FIS2_P077;FIS2_A015;Pérdida de movilidad general en mayores;Rigidez y baja actividad que reducen autonomía.;mayores;movilidad;medio;"FIS2_SRC001;FIS2_SRC017"
FIS2_P078;FIS2_A016;Dolor persistente no específico;Dolor mantenido con impacto en actividad, sueño, ánimo o función.;adultos;dolor_persistente;medio;"FIS2_SRC001;FIS2_SRC006"
FIS2_P079;FIS2_A016;Catastrofismo o miedo al daño;Interpretaciones amenazantes del dolor que reducen movimiento.;adultos;educación;medio;"FIS2_SRC006;FIS2_SRC007"
FIS2_P080;FIS2_A016;Desacondicionamiento por dolor;Reducción de actividad, fuerza y tolerancia por evitación prolongada.;adultos;dolor_persistente;medio;"FIS2_SRC001;FIS2_SRC006"
FIS2_P081;FIS2_A016;Pacing y dosificación deficientes;Patrón de sobreesfuerzo-descanso largo que perpetúa síntomas.;adultos;dolor_persistente;bajo;"FIS2_SRC006;FIS2_SRC007"
FIS2_P082;FIS2_A017;Ergonomía de puesto de trabajo;Necesidad de ajustar pantalla, silla, pausas, teclado, ratón o cargas.;adultos;ergonomía;bajo;"FIS2_SRC017;FIS2_SRC018"
FIS2_P083;FIS2_A017;Pausas activas insuficientes;Largos periodos sin movimiento que favorecen rigidez/fatiga.;adultos;hábitos;bajo;FIS2_SRC017
FIS2_P084;FIS2_A017;Técnica de levantamiento de cargas;Necesidad de estrategias para manipular cargas con seguridad y adaptación.;adultos;ergonomía;medio;FIS2_SRC018
FIS2_P085;FIS2_A017;Higiene de sueño y recuperación;Descanso insuficiente que influye en dolor, fatiga y recuperación.;adultos;hábitos;bajo;"FIS2_SRC001;FIS2_SRC017"
FIS2_P086;FIS2_A018;Conciencia básica de suelo pélvico;Necesidad de educación y percepción de contracción/relajación del suelo pélvico.;adultos;suelo_pélvico;medio;"FIS2_SRC001;FIS2_SRC018"
FIS2_P087;FIS2_A018;Incontinencia urinaria referida;Pérdidas de orina que requieren valoración especializada.;adultos;derivación;alto;FIS2_SRC018
FIS2_P088;FIS2_A018;Dolor pélvico referido;Dolor pélvico/perineal que requiere valoración especializada.;adultos;derivación;alto;FIS2_SRC018
FIS2_P089;FIS2_A018;Posparto y recuperación funcional;Retorno progresivo a actividad tras parto, con señales de derivación.;adultos;posparto;alto;"FIS2_SRC001;FIS2_SRC018"
FIS2_P090;FIS2_A018;Derivación a fisio especialista de suelo pélvico;Necesidad de orientar a profesional especializado por síntomas o dudas específicas.;adultos;derivación;alto;FIS2_SRC018
