tecnica_id;nombre;descripcion;nivel_riesgo;tipo_intervencion;fuente_ids
FIS2_T039;Pliometría progresiva;Saltos y aterrizajes graduados con control y criterios de retorno.;medio;readaptación;FIS2_SRC005
FIS2_T040;Agilidad y cambios de dirección;Progresión de desplazamientos, frenadas, giros y cortes.;medio;readaptación;FIS2_SRC005
FIS2_T041;Criterios de retorno al deporte;Usar fuerza, dolor, función, confianza y tolerancia como criterios.;medio;readaptación;FIS2_SRC005
FIS2_T042;Rehabilitación por fases postoperatorias;Fases según indicación médica: protección, movilidad, fuerza, función.;alto;postoperatorio;FIS2_SRC010
FIS2_T043;Manejo de edema;Elevación, movilidad, compresión si procede e indicación médica.;medio;postoperatorio;FIS2_SRC010
FIS2_T044;Movilidad post-inmovilización;Recuperar rango de forma progresiva tras inmovilización autorizada.;medio;postfractura;FIS2_SRC010
FIS2_T045;Reaprendizaje motor neurológico;Práctica repetida, orientada a tarea, feedback y progresión.;alto;neurológica;FIS2_SRC009
FIS2_T046;Entrenamiento de equilibrio neurológico;Equilibrio seguro estático/dinámico, transferencia y marcha.;alto;neurológica;FIS2_SRC009
FIS2_T047;Entrenamiento de marcha neurológica;Trabajo de pasos, apoyo, ritmo, ayudas técnicas y seguridad.;alto;neurológica;FIS2_SRC009
FIS2_T048;Fortalecimiento funcional neurológico;Fuerza orientada a tareas como levantarse, caminar o subir escalón.;alto;neurológica;FIS2_SRC009
FIS2_T049;Entrenamiento aeróbico graduado;Dosificar caminata, bici u otra actividad según tolerancia.;medio;cardiorrespiratoria;"FIS2_SRC001;FIS2_SRC017"
FIS2_T050;Monitorización de esfuerzo;Usar escala de esfuerzo, síntomas y recuperación para ajustar actividad.;medio;seguridad;"FIS2_SRC017;FIS2_SRC018"
FIS2_T051;Fuerza funcional para mayores;Sit-to-stand, escalón, transporte de carga y tareas cotidianas.;medio;mayores;"FIS2_SRC001;FIS2_SRC005"
FIS2_T052;Equilibrio y prevención de caídas;Ejercicios de equilibrio, marcha, fuerza y seguridad del entorno.;alto;mayores;"FIS2_SRC001;FIS2_SRC018"
FIS2_T053;Educación de dolor persistente;Explicar sensibilización, seguridad, exposición gradual y factores biopsicosociales.;medio;dolor_persistente;"FIS2_SRC006;FIS2_SRC007"
FIS2_T054;Exposición gradual al movimiento;Reintroducir movimientos temidos de forma dosificada y segura.;medio;dolor_persistente;"FIS2_SRC006;FIS2_SRC007"
FIS2_T055;Ergonomía y variabilidad postural;Ajustar entorno y promover variación, pausas y movimiento.;bajo;ergonomía;"FIS2_SRC017;FIS2_SRC018"
FIS2_T056;Pausas activas;Bloques breves de movilidad/fuerza suave durante el día.;bajo;hábitos;FIS2_SRC017
FIS2_T057;Educación en manipulación de cargas;Estrategias de aproximación, postura variable, progresión y ayudas.;medio;ergonomía;FIS2_SRC018
FIS2_T058;Educación de sueño y recuperación;Relación entre sueño, dolor, fatiga y recuperación.;bajo;hábitos;"FIS2_SRC001;FIS2_SRC017"
FIS2_T059;Educación básica de suelo pélvico;Conciencia, función y señales de derivación a especialista.;medio;suelo_pélvico;FIS2_SRC018
FIS2_T060;Coordinación interdisciplinar;Coordinar con medicina, traumatología, neurología, psicología o fisio especializado.;alto;seguridad;"FIS2_SRC001;FIS2_SRC004"
FIS2_T061;Prescripción de ejercicio domiciliario;Definir ejercicios claros, dosis, frecuencia, progresión y criterios de pausa.;bajo;tareas;"FIS2_SRC003;FIS2_SRC004"
FIS2_T062;Adherencia a ejercicios;Ajustar volumen, recordatorios, seguimiento y barreras para cumplir tareas.;bajo;hábitos;FIS2_SRC003
FIS2_T063;Uso de Body Muscles para educación anatómica;Explicar región implicada y objetivos visuales con mapa anatómico.;bajo;educación;FIS2_SRC016
FIS2_T064;Semáforo de dolor/tolerancia;Definir verde/amarillo/rojo según dolor, función y evolución 24-48h.;medio;seguridad;"FIS2_SRC006;FIS2_SRC007"
FIS2_T065;Prevención de recaídas;Planificar señales tempranas, dosificación y retorno gradual.;bajo;prevención;"FIS2_SRC006;FIS2_SRC017"
FIS2_T066;Educación sobre artrosis y ejercicio;Explicar artrosis, dolor, ejercicio, fuerza y manejo de síntomas.;medio;artrosis;FIS2_SRC008
FIS2_T067;Fortalecimiento en artrosis;Fuerza progresiva y adaptada a tolerancia para artrosis.;medio;artrosis;FIS2_SRC008
FIS2_T068;Entrenamiento de actividades de la vida diaria;Practicar tareas funcionales relevantes para la persona.;bajo;funcional;"FIS2_SRC001;FIS2_SRC009"
