AREA;PROBLEMA_OBJETIVO;ALIAS;RIESGO_PROBLEMA;TECNICA_METODO;TAREA_PAUTA;DESCRIPCION_TAREA;OBJETIVO;RIESGO_TAREA;DURACION;PRIORIDAD;FUENTE_IDS;NOTA_PROFESIONAL
Planificación del temario;No sabe por dónde empezar;Inicio desorganizado;bajo;Seguimiento de métricas;Registro real de horas útiles;Registrar tiempo efectivo, no solo tiempo sentado.;Medir dedicación real.;bajo;diario;media;"OPO_SRC001;OPO_SRC002";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No sabe por dónde empezar;Inicio desorganizado;bajo;Seguimiento de métricas;Dashboard de métricas;Registrar temas vistos, repasos, simulacros, nota y cumplimiento.;Visualizar evolución.;bajo;continuo;media;"OPO_SRC001;OPO_SRC002";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Temario demasiado amplio;Sobrecarga de temario;medio;Diagnóstico inicial del opositor;Ficha inicial del opositor;Registrar oposición, convocatoria, temario, formato, tiempo disponible y disponibilidad semanal.;Definir punto de partida.;bajo;30 min;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Temario demasiado amplio;Sobrecarga de temario;medio;Diagnóstico inicial del opositor;Test diagnóstico inicial;Realizar prueba breve o simulacro parcial para estimar nivel.;Detectar base real.;medio;30-90 min;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Temario demasiado amplio;Sobrecarga de temario;medio;Diagnóstico inicial del opositor;Mapa completo del temario;Listar bloques, temas, peso estimado, dificultad y estado.;Visualizar carga total.;bajo;60 min;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Temario demasiado amplio;Sobrecarga de temario;medio;Planificación inversa;Calendario inverso hasta examen;Crear calendario desde la fecha de examen hacia atrás.;Asegurar cobertura y repasos.;bajo;45 min;alta;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Temario demasiado amplio;Sobrecarga de temario;medio;Planificación inversa;Plan semanal de estudio;Asignar bloques concretos por día con tema, técnica y objetivo.;Ejecutar planificación.;bajo;semanal;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Temario demasiado amplio;Sobrecarga de temario;medio;Priorización por impacto/riesgo;Tabla de prioridad de temas;Puntuar cada tema por peso, dificultad, dominio y urgencia.;Priorizar con criterio.;bajo;30 min;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Temario demasiado amplio;Sobrecarga de temario;medio;Priorización por impacto/riesgo;Semáforo de temas;Marcar tema en rojo/ámbar/verde según dominio.;Control visual de avance.;bajo;semanal;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Temario demasiado amplio;Sobrecarga de temario;medio;Sistema de vueltas;Plan de primera vuelta;Dividir temario en bloques de primera lectura/comprensión.;Completar base inicial.;bajo;variable;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Temario demasiado amplio;Sobrecarga de temario;medio;Sistema de vueltas;Plan de segunda vuelta;Programar recuperación y repasos por bloques ya vistos.;Consolidar contenido.;bajo;variable;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Temario demasiado amplio;Sobrecarga de temario;medio;Objetivos SMART;Objetivo SMART semanal;Definir objetivo concreto de avance/repaso/simulacro.;Aumentar foco.;bajo;semanal;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Temario demasiado amplio;Sobrecarga de temario;medio;Seguimiento de métricas;Registro real de horas útiles;Registrar tiempo efectivo, no solo tiempo sentado.;Medir dedicación real.;bajo;diario;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Temario demasiado amplio;Sobrecarga de temario;medio;Seguimiento de métricas;Dashboard de métricas;Registrar temas vistos, repasos, simulacros, nota y cumplimiento.;Visualizar evolución.;bajo;continuo;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No llega a la fecha de examen;Planificación insuficiente;medio;Diagnóstico inicial del opositor;Ficha inicial del opositor;Registrar oposición, convocatoria, temario, formato, tiempo disponible y disponibilidad semanal.;Definir punto de partida.;bajo;30 min;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No llega a la fecha de examen;Planificación insuficiente;medio;Diagnóstico inicial del opositor;Test diagnóstico inicial;Realizar prueba breve o simulacro parcial para estimar nivel.;Detectar base real.;medio;30-90 min;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No llega a la fecha de examen;Planificación insuficiente;medio;Diagnóstico inicial del opositor;Mapa completo del temario;Listar bloques, temas, peso estimado, dificultad y estado.;Visualizar carga total.;bajo;60 min;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No llega a la fecha de examen;Planificación insuficiente;medio;Planificación inversa;Calendario inverso hasta examen;Crear calendario desde la fecha de examen hacia atrás.;Asegurar cobertura y repasos.;bajo;45 min;alta;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No llega a la fecha de examen;Planificación insuficiente;medio;Planificación inversa;Plan semanal de estudio;Asignar bloques concretos por día con tema, técnica y objetivo.;Ejecutar planificación.;bajo;semanal;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No llega a la fecha de examen;Planificación insuficiente;medio;Priorización por impacto/riesgo;Tabla de prioridad de temas;Puntuar cada tema por peso, dificultad, dominio y urgencia.;Priorizar con criterio.;bajo;30 min;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No llega a la fecha de examen;Planificación insuficiente;medio;Priorización por impacto/riesgo;Semáforo de temas;Marcar tema en rojo/ámbar/verde según dominio.;Control visual de avance.;bajo;semanal;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No llega a la fecha de examen;Planificación insuficiente;medio;Sistema de vueltas;Plan de primera vuelta;Dividir temario en bloques de primera lectura/comprensión.;Completar base inicial.;bajo;variable;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No llega a la fecha de examen;Planificación insuficiente;medio;Sistema de vueltas;Plan de segunda vuelta;Programar recuperación y repasos por bloques ya vistos.;Consolidar contenido.;bajo;variable;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No llega a la fecha de examen;Planificación insuficiente;medio;Objetivos SMART;Objetivo SMART semanal;Definir objetivo concreto de avance/repaso/simulacro.;Aumentar foco.;bajo;semanal;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No llega a la fecha de examen;Planificación insuficiente;medio;Seguimiento de métricas;Registro real de horas útiles;Registrar tiempo efectivo, no solo tiempo sentado.;Medir dedicación real.;bajo;diario;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No llega a la fecha de examen;Planificación insuficiente;medio;Seguimiento de métricas;Dashboard de métricas;Registrar temas vistos, repasos, simulacros, nota y cumplimiento.;Visualizar evolución.;bajo;continuo;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No controla vueltas de repaso;Vueltas desordenadas;bajo;Diagnóstico inicial del opositor;Ficha inicial del opositor;Registrar oposición, convocatoria, temario, formato, tiempo disponible y disponibilidad semanal.;Definir punto de partida.;bajo;30 min;media;"OPO_SRC002;OPO_SRC003";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No controla vueltas de repaso;Vueltas desordenadas;bajo;Diagnóstico inicial del opositor;Test diagnóstico inicial;Realizar prueba breve o simulacro parcial para estimar nivel.;Detectar base real.;medio;30-90 min;media;"OPO_SRC002;OPO_SRC003";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No controla vueltas de repaso;Vueltas desordenadas;bajo;Diagnóstico inicial del opositor;Mapa completo del temario;Listar bloques, temas, peso estimado, dificultad y estado.;Visualizar carga total.;bajo;60 min;media;"OPO_SRC002;OPO_SRC003";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No controla vueltas de repaso;Vueltas desordenadas;bajo;Planificación inversa;Calendario inverso hasta examen;Crear calendario desde la fecha de examen hacia atrás.;Asegurar cobertura y repasos.;bajo;45 min;alta;"OPO_SRC002;OPO_SRC003";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No controla vueltas de repaso;Vueltas desordenadas;bajo;Planificación inversa;Plan semanal de estudio;Asignar bloques concretos por día con tema, técnica y objetivo.;Ejecutar planificación.;bajo;semanal;media;"OPO_SRC002;OPO_SRC003";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No controla vueltas de repaso;Vueltas desordenadas;bajo;Priorización por impacto/riesgo;Tabla de prioridad de temas;Puntuar cada tema por peso, dificultad, dominio y urgencia.;Priorizar con criterio.;bajo;30 min;media;"OPO_SRC002;OPO_SRC003";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No controla vueltas de repaso;Vueltas desordenadas;bajo;Priorización por impacto/riesgo;Semáforo de temas;Marcar tema en rojo/ámbar/verde según dominio.;Control visual de avance.;bajo;semanal;media;"OPO_SRC002;OPO_SRC003";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No controla vueltas de repaso;Vueltas desordenadas;bajo;Sistema de vueltas;Plan de primera vuelta;Dividir temario en bloques de primera lectura/comprensión.;Completar base inicial.;bajo;variable;media;"OPO_SRC002;OPO_SRC003";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No controla vueltas de repaso;Vueltas desordenadas;bajo;Sistema de vueltas;Plan de segunda vuelta;Programar recuperación y repasos por bloques ya vistos.;Consolidar contenido.;bajo;variable;media;"OPO_SRC002;OPO_SRC003";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No controla vueltas de repaso;Vueltas desordenadas;bajo;Objetivos SMART;Objetivo SMART semanal;Definir objetivo concreto de avance/repaso/simulacro.;Aumentar foco.;bajo;semanal;media;"OPO_SRC002;OPO_SRC003";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No controla vueltas de repaso;Vueltas desordenadas;bajo;Seguimiento de métricas;Registro real de horas útiles;Registrar tiempo efectivo, no solo tiempo sentado.;Medir dedicación real.;bajo;diario;media;"OPO_SRC002;OPO_SRC003";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;No controla vueltas de repaso;Vueltas desordenadas;bajo;Seguimiento de métricas;Dashboard de métricas;Registrar temas vistos, repasos, simulacros, nota y cumplimiento.;Visualizar evolución.;bajo;continuo;media;"OPO_SRC002;OPO_SRC003";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Priorización incorrecta;Estudia sin ponderar;medio;Diagnóstico inicial del opositor;Ficha inicial del opositor;Registrar oposición, convocatoria, temario, formato, tiempo disponible y disponibilidad semanal.;Definir punto de partida.;bajo;30 min;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Priorización incorrecta;Estudia sin ponderar;medio;Diagnóstico inicial del opositor;Test diagnóstico inicial;Realizar prueba breve o simulacro parcial para estimar nivel.;Detectar base real.;medio;30-90 min;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Priorización incorrecta;Estudia sin ponderar;medio;Diagnóstico inicial del opositor;Mapa completo del temario;Listar bloques, temas, peso estimado, dificultad y estado.;Visualizar carga total.;bajo;60 min;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Priorización incorrecta;Estudia sin ponderar;medio;Planificación inversa;Calendario inverso hasta examen;Crear calendario desde la fecha de examen hacia atrás.;Asegurar cobertura y repasos.;bajo;45 min;alta;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Priorización incorrecta;Estudia sin ponderar;medio;Planificación inversa;Plan semanal de estudio;Asignar bloques concretos por día con tema, técnica y objetivo.;Ejecutar planificación.;bajo;semanal;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Priorización incorrecta;Estudia sin ponderar;medio;Priorización por impacto/riesgo;Tabla de prioridad de temas;Puntuar cada tema por peso, dificultad, dominio y urgencia.;Priorizar con criterio.;bajo;30 min;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Priorización incorrecta;Estudia sin ponderar;medio;Priorización por impacto/riesgo;Semáforo de temas;Marcar tema en rojo/ámbar/verde según dominio.;Control visual de avance.;bajo;semanal;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Priorización incorrecta;Estudia sin ponderar;medio;Sistema de vueltas;Plan de primera vuelta;Dividir temario en bloques de primera lectura/comprensión.;Completar base inicial.;bajo;variable;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Priorización incorrecta;Estudia sin ponderar;medio;Sistema de vueltas;Plan de segunda vuelta;Programar recuperación y repasos por bloques ya vistos.;Consolidar contenido.;bajo;variable;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Priorización incorrecta;Estudia sin ponderar;medio;Objetivos SMART;Objetivo SMART semanal;Definir objetivo concreto de avance/repaso/simulacro.;Aumentar foco.;bajo;semanal;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Priorización incorrecta;Estudia sin ponderar;medio;Seguimiento de métricas;Registro real de horas útiles;Registrar tiempo efectivo, no solo tiempo sentado.;Medir dedicación real.;bajo;diario;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Planificación del temario;Priorización incorrecta;Estudia sin ponderar;medio;Seguimiento de métricas;Dashboard de métricas;Registrar temas vistos, repasos, simulacros, nota y cumplimiento.;Visualizar evolución.;bajo;continuo;media;OPO_SRC002;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;Estudio pasivo;Leer/subrayar sin comprobar;bajo;Lectura activa;Lectura con preguntas previas;Antes de leer, formular 3 preguntas del tema.;Activar lectura activa.;bajo;por tema;media;"OPO_SRC003;OPO_SRC004;OPO_SRC006";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;Estudio pasivo;Leer/subrayar sin comprobar;bajo;Lectura activa;Convertir epígrafes en preguntas;Transformar títulos en preguntas de examen.;Preparar recuperación activa.;bajo;por tema;media;"OPO_SRC003;OPO_SRC004;OPO_SRC006";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;Estudio pasivo;Leer/subrayar sin comprobar;bajo;Recuperación activa;Recitar tema sin mirar;Intentar explicar o escribir esquema del tema en blanco.;Comprobar recuerdo real.;medio;10-20 min;media;"OPO_SRC003;OPO_SRC004;OPO_SRC006";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;Estudio pasivo;Leer/subrayar sin comprobar;bajo;Recuperación activa;Mini-test de recuperación;Responder 10-20 preguntas sin apuntes antes de revisar.;Fortalecer memoria.;bajo;diario;media;"OPO_SRC003;OPO_SRC004;OPO_SRC006";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;Estudio pasivo;Leer/subrayar sin comprobar;bajo;Elaboración;Explicar tema en voz alta;Explicar tema como si enseñaras a otra persona.;Profundizar comprensión.;bajo;10-15 min;media;"OPO_SRC003;OPO_SRC004;OPO_SRC006";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;Estudio pasivo;Leer/subrayar sin comprobar;bajo;Elaboración;Crear ejemplo propio;Asociar cada concepto difícil a ejemplo práctico.;Mejorar elaboración.;bajo;por concepto;media;"OPO_SRC003;OPO_SRC004;OPO_SRC006";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;Estudio pasivo;Leer/subrayar sin comprobar;bajo;Codificación dual;Esquema visual del tema;Crear mapa, tabla o diagrama de estructura del tema.;Mejorar organización.;bajo;por tema;media;"OPO_SRC003;OPO_SRC004;OPO_SRC006";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;Estudio pasivo;Leer/subrayar sin comprobar;bajo;Esquemas y mapas funcionales;Resumen de una página;Reducir tema a una hoja de estructura clave.;Facilitar repaso final.;bajo;por tema;media;"OPO_SRC003;OPO_SRC004;OPO_SRC006";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;Estudio pasivo;Leer/subrayar sin comprobar;bajo;Metacognición;Autoevaluación al cerrar sesión;Responder: qué hice, qué recuerdo, qué toca después.;Mejorar metacognición.;bajo;diario;media;"OPO_SRC003;OPO_SRC004;OPO_SRC006";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;No entiende el tema;Comprensión superficial;medio;Lectura activa;Lectura con preguntas previas;Antes de leer, formular 3 preguntas del tema.;Activar lectura activa.;bajo;por tema;media;OPO_SRC004;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;No entiende el tema;Comprensión superficial;medio;Lectura activa;Convertir epígrafes en preguntas;Transformar títulos en preguntas de examen.;Preparar recuperación activa.;bajo;por tema;media;OPO_SRC004;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;No entiende el tema;Comprensión superficial;medio;Recuperación activa;Recitar tema sin mirar;Intentar explicar o escribir esquema del tema en blanco.;Comprobar recuerdo real.;medio;10-20 min;media;OPO_SRC004;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;No entiende el tema;Comprensión superficial;medio;Recuperación activa;Mini-test de recuperación;Responder 10-20 preguntas sin apuntes antes de revisar.;Fortalecer memoria.;bajo;diario;media;OPO_SRC004;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;No entiende el tema;Comprensión superficial;medio;Elaboración;Explicar tema en voz alta;Explicar tema como si enseñaras a otra persona.;Profundizar comprensión.;bajo;10-15 min;media;OPO_SRC004;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;No entiende el tema;Comprensión superficial;medio;Elaboración;Crear ejemplo propio;Asociar cada concepto difícil a ejemplo práctico.;Mejorar elaboración.;bajo;por concepto;media;OPO_SRC004;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;No entiende el tema;Comprensión superficial;medio;Codificación dual;Esquema visual del tema;Crear mapa, tabla o diagrama de estructura del tema.;Mejorar organización.;bajo;por tema;media;OPO_SRC004;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;No entiende el tema;Comprensión superficial;medio;Esquemas y mapas funcionales;Resumen de una página;Reducir tema a una hoja de estructura clave.;Facilitar repaso final.;bajo;por tema;media;OPO_SRC004;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;No entiende el tema;Comprensión superficial;medio;Metacognición;Autoevaluación al cerrar sesión;Responder: qué hice, qué recuerdo, qué toca después.;Mejorar metacognición.;bajo;diario;media;OPO_SRC004;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;Apuntes poco útiles;Material desorganizado;bajo;Lectura activa;Lectura con preguntas previas;Antes de leer, formular 3 preguntas del tema.;Activar lectura activa.;bajo;por tema;media;"OPO_SRC002;OPO_SRC009";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;Apuntes poco útiles;Material desorganizado;bajo;Lectura activa;Convertir epígrafes en preguntas;Transformar títulos en preguntas de examen.;Preparar recuperación activa.;bajo;por tema;media;"OPO_SRC002;OPO_SRC009";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;Apuntes poco útiles;Material desorganizado;bajo;Recuperación activa;Recitar tema sin mirar;Intentar explicar o escribir esquema del tema en blanco.;Comprobar recuerdo real.;medio;10-20 min;media;"OPO_SRC002;OPO_SRC009";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
Técnicas de estudio;Apuntes poco útiles;Material desorganizado;bajo;Recuperación activa;Mini-test de recuperación;Responder 10-20 preguntas sin apuntes antes de revisar.;Fortalecer memoria.;bajo;diario;media;"OPO_SRC002;OPO_SRC009";El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
